id_documento,id_siniestro,tipo_documento,entregado,legible,inconsistencia_detectada,adulteracion_confirmada,archivo_pdf,fecha_emision,observacion
DOC-0047,SIN-0019,Factura de reparación,False,False,False,False,,2025-03-08,Documento no entregado
DOC-0048,SIN-0019,Peritaje,False,False,False,False,,2025-03-06,Documento no entregado
DOC-0049,SIN-0020,Factura de reparación,False,False,False,False,,2025-04-27,Documento no entregado
DOC-0050,SIN-0020,Fotografías del daño,False,False,False,False,,2025-04-27,Documento no entregado
DOC-0051,SIN-0021,Historia clínica,False,False,False,False,,2024-07-10,Documento no entregado
DOC-0052,SIN-0021,Exámenes,False,False,False,False,,2024-07-14,Documento no entregado
DOC-0053,SIN-0021,Orden médica,False,False,False,False,,2024-07-14,Documento no entregado
DOC-0054,SIN-0022,Parte Policial,True,True,False,False,PP_SIN-0022_DOC-0054.pdf,2024-04-11,Sin observaciones
DOC-0055,SIN-0022,Peritaje,False,False,False,False,,2024-04-11,Documento no entregado
DOC-0056,SIN-0022,Factura de reparación,False,False,False,False,,2024-04-14,Documento no entregado
DOC-0057,SIN-0023,Parte policial,False,False,True,False,,2025-06-30,Documento no entregado
DOC-0058,SIN-0023,Peritaje,False,False,False,False,,2025-06-30,Documento no entregado
DOC-0059,SIN-0024,Informe técnico,False,False,False,False,,2024-12-15,Documento no entregado
DOC-0060,SIN-0024,Factura de reparación,False,False,False,False,,2024-12-18,Documento no entregado
DOC-0061,SIN-0025,Fotografías del daño,False,False,False,False,,2025-06-16,Documento no entregado
DOC-0062,SIN-0025,Parte policial,False,False,False,False,,2025-06-16,Documento no entregado
DOC-0063,SIN-0026,Exámenes,False,False,False,False,,2024-06-03,Documento no entregado
DOC-0064,SIN-0026,Historia clínica,False,False,False,False,,2024-06-04,Documento no entregado
DOC-0065,SIN-0026,Orden médica,False,False,False,False,,2024-06-02,Documento no entregado
DOC-0066,SIN-0027,Denuncia policial,False,False,False,False,,2025-10-26,Documento no entregado
DOC-0067,SIN-0027,Factura de reparación,False,False,False,False,,2025-10-24,Documento no entregado
DOC-0068,SIN-0028,Factura de reparación,False,False,False,False,,2024-08-23,Documento no entregado
DOC-0069,SIN-0028,Parte policial,False,False,False,False,,2024-08-19,Documento no entregado
DOC-0070,SIN-0029,Fotografías del daño,False,False,False,False,,2025-04-23,Documento no entregado
DOC-0071,SIN-0029,Factura de reparación,False,False,False,False,,2025-04-29,Documento no entregado
DOC-0072,SIN-0030,Fotografías del daño,False,False,True,False,,2024-10-06,Documento no entregado
DOC-0073,SIN-0030,Peritaje,False,False,False,False,,2024-10-09,Documento no entregado
DOC-0074,SIN-0031,Parte policial,False,False,False,False,,2024-02-15,Documento no entregado
DOC-0075,SIN-0031,Fotografías del daño,False,False,False,False,,2024-02-15,Documento no entregado
DOC-0076,SIN-0032,Factura de reparación,False,False,True,False,,2024-10-27,Documento no entregado
DOC-0077,SIN-0032,Fotografías del daño,False,False,False,False,,2024-11-01,Documento no entregado
DOC-0078,SIN-0033,Fotografías del daño,False,False,False,False,,2025-06-06,Documento no entregado
DOC-0079,SIN-0033,Peritaje,False,False,False,False,,2025-06-07,Documento no entregado
DOC-0080,SIN-0033,Factura de reparación,False,False,False,False,,2025-06-08,Documento no entregado
DOC-0081,SIN-0034,Parte policial,False,False,False,False,,2024-11-03,Documento no entregado
DOC-0082,SIN-0034,Denuncia policial,False,False,False,False,,2024-11-02,Documento no entregado
DOC-0083,SIN-0035,Parte policial,False,False,False,False,,2024-12-06,Documento no entregado
DOC-0084,SIN-0035,Denuncia policial,False,False,False,False,,2024-12-03,Documento no entregado
DOC-0085,SIN-0036,Parte policial,False,False,False,False,,2025-09-20,Documento no entregado
DOC-0086,SIN-0036,Fotografías del daño,False,False,False,False,,2025-09-22,Documento no entregado
DOC-0087,SIN-0036,Denuncia policial,False,False,False,False,,2025-09-25,Documento no entregado
DOC-0088,SIN-0037,Factura de reparación,False,False,False,False,,2025-02-23,Documento no entregado
DOC-0089,SIN-0037,Denuncia policial,False,False,False,False,,2025-02-20,Documento no entregado
DOC-0090,SIN-0038,Denuncia policial,False,False,False,False,,2024-09-10,Documento no entregado
DOC-0091,SIN-0038,Parte policial,False,False,False,False,,2024-09-14,Documento no entregado
DOC-0092,SIN-0038,Factura de reparación,False,False,False,False,,2024-09-15,Documento no entregado
DOC-0093,SIN-0039,Parte policial,False,False,False,False,,2025-01-10,Documento no entregado
DOC-0094,SIN-0039,Fotografías del daño,False,False,False,False,,2025-01-14,Documento no entregado
DOC-0095,SIN-0039,Denuncia policial,False,False,False,False,,2025-01-08,Documento no entregado
DOC-0096,SIN-0040,Factura de reparación,False,False,False,False,,2024-12-26,Documento no entregado
DOC-0097,SIN-0040,Parte Policial,True,True,False,False,PP_SIN-0040_DOC-0097.pdf,2024-12-25,Sin observaciones
DOC-0098,SIN-0041,Informe técnico,False,False,False,False,,2024-07-27,Documento no entregado
DOC-0099,SIN-0041,Denuncia policial,False,False,False,False,,2024-07-28,Documento no entregado
DOC-0100,SIN-0042,Denuncia policial,False,False,False,False,,2024-05-03,Documento no entregado
DOC-0101,SIN-0042,Peritaje,False,False,False,False,,2024-04-30,Documento no entregado
DOC-0102,SIN-0042,Fotografías del daño,False,False,False,False,,2024-04-30,Documento no entregado
DOC-0103,SIN-0043,Parte policial,False,False,False,False,,2024-12-03,Documento no entregado
DOC-0104,SIN-0043,Fotografías del daño,False,False,False,False,,2024-12-03,Documento no entregado
DOC-0105,SIN-0044,Parte policial,False,False,False,False,,2025-06-12,Documento no entregado
DOC-0106,SIN-0044,Denuncia policial,False,False,False,False,,2025-06-16,Documento no entregado
DOC-0107,SIN-0044,Fotografías del daño,False,False,False,False,,2025-06-17,Documento no entregado
DOC-0108,SIN-0045,Informe técnico,False,False,False,False,,2025-02-08,Documento no entregado
DOC-0109,SIN-0045,Factura de reparación,False,False,True,True,,2025-02-05,Documento no entregado
DOC-0110,SIN-0046,Factura de reparación,False,False,False,False,,2024-11-22,Documento no entregado
DOC-0111,SIN-0046,Fotografías del daño,False,False,False,False,,2024-11-20,Documento no entregado
DOC-0112,SIN-0046,Denuncia policial,False,False,False,False,,2024-11-21,Documento no entregado
DOC-0113,SIN-0047,Fotografías del daño,False,False,False,False,,2024-07-20,Documento no entregado
DOC-0114,SIN-0047,Denuncia policial,False,False,False,False,,2024-07-24,Documento no entregado
DOC-0115,SIN-0048,Fotografías del daño,False,False,False,False,,2025-03-21,Documento no entregado
DOC-0116,SIN-0048,Parte policial,False,False,True,True,,2025-03-19,Documento no entregado
DOC-0117,SIN-0049,Factura de reparación,False,False,False,False,,2025-02-16,Documento no entregado
DOC-0118,SIN-0049,Parte policial,False,False,False,False,,2025-02-10,Documento no entregado
DOC-0119,SIN-0050,Factura de reparación,False,False,False,False,,2025-01-03,Documento no entregado
DOC-0120,SIN-0050,Fotografías del daño,False,False,False,False,,2025-01-01,Documento no entregado
DOC-0121,SIN-0051,Parte policial,False,False,False,False,,2024-08-25,Documento no entregado
DOC-0122,SIN-0051,Peritaje,False,False,False,False,,2024-08-26,Documento no entregado
DOC-0123,SIN-0052,Factura de reparación,False,False,False,False,,2025-03-10,Documento no entregado
DOC-0124,SIN-0052,Fotografías del daño,False,False,False,False,,2025-03-07,Documento no entregado
DOC-0125,SIN-0052,Denuncia policial,False,False,False,False,,2025-03-12,Documento no entregado
DOC-0126,SIN-0053,Factura hospitalaria,False,False,False,False,,2024-08-01,Documento no entregado
DOC-0127,SIN-0053,Orden médica,False,False,True,False,,2024-07-30,Documento no entregado
DOC-0128,SIN-0053,Exámenes,False,False,False,False,,2024-08-04,Documento no entregado
DOC-0129,SIN-0054,Peritaje,False,False,False,False,,2024-11-21,Documento no entregado
DOC-0130,SIN-0054,Fotografías del daño,False,False,False,False,,2024-11-20,Documento no entregado
DOC-0131,SIN-0055,Factura de reparación,False,False,False,False,,2024-11-18,Documento no entregado
DOC-0132,SIN-0055,Fotografías del daño,False,False,False,False,,2024-11-18,Documento no entregado
DOC-0133,SIN-0056,Denuncia policial,False,False,False,False,,2025-02-17,Documento no entregado
DOC-0134,SIN-0056,Parte policial,False,False,False,False,,2025-02-17,Documento no entregado
DOC-0135,SIN-0056,Peritaje,False,False,False,False,,2025-02-17,Documento no entregado
DOC-0136,SIN-0057,Denuncia policial,False,False,False,False,,2024-11-21,Documento no entregado
DOC-0137,SIN-0057,Peritaje,False,False,False,False,,2024-11-25,Documento no entregado
DOC-0138,SIN-0058,Factura de reparación,False,False,False,False,,2024-07-26,Documento no entregado
DOC-0139,SIN-0058,Parte policial,False,False,False,False,,2024-08-01,Documento no entregado
DOC-0140,SIN-0059,Factura de reparación,False,False,False,False,,2025-05-11,Documento no entregado
DOC-0141,SIN-0059,Fotografías del daño,False,False,False,False,,2025-05-08,Documento no entregado
DOC-0142,SIN-0059,Parte policial,False,False,False,False,,2025-05-10,Documento no entregado
DOC-0143,SIN-0060,Informe técnico,False,False,False,False,,2024-04-09,Documento no entregado
DOC-0144,SIN-0060,Denuncia policial,False,False,False,False,,2024-04-11,Documento no entregado
DOC-0145,SIN-0060,Factura de reparación,False,False,False,False,,2024-04-11,Documento no entregado
DOC-0146,SIN-0061,Denuncia policial,False,False,True,True,,2024-09-24,Documento no entregado
DOC-0147,SIN-0061,Factura de reparación,False,False,False,False,,2024-09-23,Documento no entregado
DOC-0148,SIN-0061,Parte policial,False,False,False,False,,2024-09-25,Documento no entregado
DOC-0149,SIN-0062,Fotografías,False,False,False,False,,2025-02-27,Documento no entregado
DOC-0150,SIN-0062,Factura de reparación,False,False,False,False,,2025-02-27,Documento no entregado
DOC-0151,SIN-0063,Factura de reparación,False,False,False,False,,2024-08-01,Documento no entregado
DOC-0152,SIN-0063,Peritaje,False,False,False,False,,2024-08-02,Documento no entregado
DOC-0153,SIN-0063,Denuncia policial,False,False,False,False,,2024-08-03,Documento no entregado
DOC-0154,SIN-0064,Peritaje,False,False,False,False,,2025-04-28,Documento no entregado
DOC-0155,SIN-0064,Factura de reparación,False,False,False,False,,2025-04-28,Documento no entregado
DOC-0156,SIN-0064,Fotografías del daño,False,False,False,False,,2025-04-29,Documento no entregado
DOC-0157,SIN-0065,Denuncia policial,False,False,False,False,,2024-12-31,Documento no entregado
DOC-0158,SIN-0065,Parte policial,False,False,True,False,,2024-12-31,Documento no entregado
DOC-0159,SIN-0066,Denuncia policial,False,False,False,False,,2025-01-30,Documento no entregado
DOC-0160,SIN-0066,Parte policial,False,False,False,False,,2025-01-29,Documento no entregado
DOC-0161,SIN-0067,Parte policial,False,False,False,False,,2025-01-04,Documento no entregado
DOC-0162,SIN-0067,Denuncia policial,False,False,False,False,,2025-01-05,Documento no entregado
DOC-0163,SIN-0067,Peritaje,False,False,False,False,,2025-01-04,Documento no entregado
DOC-0164,SIN-0068,Fotografías del daño,False,False,False,False,,2025-01-13,Documento no entregado
DOC-0165,SIN-0068,Parte policial,False,False,False,False,,2025-01-11,Documento no entregado
DOC-0166,SIN-0069,Denuncia policial,False,False,False,False,,2024-07-12,Documento no entregado
DOC-0167,SIN-0069,Fotografías,False,False,False,False,,2024-07-11,Documento no entregado
DOC-0168,SIN-0070,Historia clínica,False,False,False,False,,2024-12-19,Documento no entregado
DOC-0169,SIN-0070,Orden médica,False,False,False,False,,2024-12-24,Documento no entregado
DOC-0170,SIN-0071,Peritaje,False,False,False,False,,2024-06-05,Documento no entregado
DOC-0171,SIN-0071,Parte policial,False,False,False,False,,2024-06-07,Documento no entregado
DOC-0172,SIN-0071,Factura de reparación,False,False,False,False,,2024-06-07,Documento no entregado
DOC-0173,SIN-0072,Factura hospitalaria,False,False,False,False,,2025-05-14,Documento no entregado
DOC-0174,SIN-0072,Historia clínica,False,False,False,False,,2025-05-11,Documento no entregado
DOC-0175,SIN-0073,Parte policial,False,False,False,False,,2024-03-28,Documento no entregado
DOC-0176,SIN-0073,Denuncia policial,False,False,False,False,,2024-03-29,Documento no entregado
DOC-0177,SIN-0073,Fotografías del daño,False,False,False,False,,2024-03-30,Documento no entregado
DOC-0178,SIN-0074,Denuncia policial,False,False,False,False,,2024-09-06,Documento no entregado
DOC-0179,SIN-0074,Factura de reparación,False,False,False,False,,2024-09-02,Documento no entregado
DOC-0180,SIN-0074,Fotografías del daño,False,False,True,False,,2024-09-06,Documento no entregado
DOC-0181,SIN-0075,Informe técnico,False,False,True,True,,2024-09-11,Documento no entregado
DOC-0182,SIN-0075,Factura de reparación,False,False,False,False,,2024-09-06,Documento no entregado
DOC-0183,SIN-0075,Denuncia policial,False,False,False,False,,2024-09-06,Documento no entregado
DOC-0184,SIN-0076,Fotografías,False,False,False,False,,2025-04-13,Documento no entregado
DOC-0185,SIN-0076,Informe técnico,False,False,False,False,,2025-04-12,Documento no entregado
DOC-0186,SIN-0076,Factura de reparación,False,False,False,False,,2025-04-09,Documento no entregado
DOC-0187,SIN-0077,Parte policial,False,False,False,False,,2024-02-24,Documento no entregado
DOC-0188,SIN-0077,Peritaje,False,False,False,False,,2024-02-23,Documento no entregado
DOC-0189,SIN-0077,Denuncia policial,False,False,False,False,,2024-02-24,Documento no entregado
DOC-0190,SIN-0078,Peritaje,False,False,False,False,,2025-03-14,Documento no entregado
DOC-0191,SIN-0078,Parte policial,False,False,False,False,,2025-03-14,Documento no entregado
DOC-0192,SIN-0078,Factura de reparación,False,False,False,False,,2025-03-12,Documento no entregado
DOC-0193,SIN-0079,Factura de reparación,False,False,False,False,,2024-12-19,Documento no entregado
DOC-0194,SIN-0079,Peritaje,False,False,False,False,,2024-12-13,Documento no entregado
DOC-0195,SIN-0079,Parte policial,False,False,False,False,,2024-12-17,Documento no entregado
DOC-0196,SIN-0080,Factura de reparación,False,False,False,False,,2024-12-01,Documento no entregado
DOC-0197,SIN-0080,Fotografías del daño,False,False,False,False,,2024-12-01,Documento no entregado
DOC-0198,SIN-0081,Fotografías del daño,False,False,False,False,,2024-10-04,Documento no entregado
DOC-0199,SIN-0081,Denuncia policial,False,False,False,False,,2024-09-30,Documento no entregado
DOC-0200,SIN-0082,Parte policial,False,False,False,False,,2025-02-15,Documento no entregado
DOC-0201,SIN-0082,Factura de reparación,False,False,True,True,,2025-02-16,Documento no entregado
DOC-0202,SIN-0082,Denuncia policial,False,False,False,False,,2025-02-15,Documento no entregado
DOC-0203,SIN-0083,Factura hospitalaria,False,False,False,False,,2025-05-20,Documento no entregado
DOC-0204,SIN-0083,Exámenes,False,False,False,False,,2025-05-16,Documento no entregado
DOC-0205,SIN-0084,Factura de reparación,False,False,False,False,,2024-09-24,Documento no entregado
DOC-0206,SIN-0084,Peritaje,False,False,False,False,,2024-09-22,Documento no entregado
DOC-0207,SIN-0084,Fotografías del daño,False,False,True,False,,2024-09-21,Documento no entregado
DOC-0208,SIN-0085,Denuncia policial,False,False,False,False,,2025-05-29,Documento no entregado
DOC-0209,SIN-0085,Factura de reparación,False,False,False,False,,2025-05-30,Documento no entregado
DOC-0210,SIN-0086,Informe técnico,False,False,True,False,,2025-05-18,Documento no entregado
DOC-0211,SIN-0086,Denuncia policial,False,False,False,False,,2025-05-23,Documento no entregado
DOC-0212,SIN-0086,Fotografías,False,False,False,False,,2025-05-22,Documento no entregado
DOC-0213,SIN-0087,Fotografías del daño,False,False,False,False,,2024-08-07,Documento no entregado
DOC-0214,SIN-0087,Denuncia policial,False,False,False,False,,2024-08-04,Documento no entregado
DOC-0215,SIN-0088,Peritaje,False,False,False,False,,2024-11-07,Documento no entregado
DOC-0216,SIN-0088,Fotografías del daño,False,False,False,False,,2024-11-01,Documento no entregado
DOC-0217,SIN-0088,Factura de reparación,False,False,False,False,,2024-11-07,Documento no entregado
DOC-0218,SIN-0089,Informe técnico,False,False,False,False,,2024-12-13,Documento no entregado
DOC-0219,SIN-0089,Fotografías,False,False,False,False,,2024-12-08,Documento no entregado
DOC-0220,SIN-0089,Denuncia policial,False,False,False,False,,2024-12-09,Documento no entregado
DOC-0221,SIN-0090,Denuncia policial,False,False,False,False,,2024-07-27,Documento no entregado
DOC-0222,SIN-0090,Peritaje,False,False,False,False,,2024-07-30,Documento no entregado
DOC-0223,SIN-0090,Fotografías del daño,False,False,False,False,,2024-07-26,Documento no entregado
DOC-0224,SIN-0091,Denuncia policial,False,False,False,False,,2024-04-16,Documento no entregado
DOC-0225,SIN-0091,Peritaje,False,False,False,False,,2024-04-21,Documento no entregado
DOC-0226,SIN-0091,Fotografías del daño,False,False,False,False,,2024-04-19,Documento no entregado
DOC-0227,SIN-0092,Fotografías del daño,False,False,False,False,,2025-07-16,Documento no entregado
DOC-0228,SIN-0092,Factura de reparación,False,False,False,False,,2025-07-17,Documento no entregado
DOC-0229,SIN-0093,Factura de reparación,False,False,False,False,,2024-05-03,Documento no entregado
DOC-0230,SIN-0093,Peritaje,False,False,True,False,,2024-05-02,Documento no entregado
DOC-0231,SIN-0093,Fotografías del daño,False,False,False,False,,2024-04-30,Documento no entregado
DOC-0232,SIN-0094,Factura de reparación,False,False,False,False,,2025-01-15,Documento no entregado
DOC-0233,SIN-0094,Peritaje,False,False,False,False,,2025-01-12,Documento no entregado
DOC-0234,SIN-0095,Denuncia policial,False,False,False,False,,2024-08-30,Documento no entregado
DOC-0235,SIN-0095,Fotografías del daño,False,False,False,False,,2024-09-03,Documento no entregado
DOC-0236,SIN-0095,Parte policial,False,False,False,False,,2024-09-01,Documento no entregado
DOC-0237,SIN-0096,Fotografías del daño,False,False,False,False,,2024-09-10,Documento no entregado
DOC-0238,SIN-0096,Factura de reparación,False,False,False,False,,2024-09-06,Documento no entregado
DOC-0239,SIN-0097,Parte policial,False,False,False,False,,2024-10-26,Documento no entregado
DOC-0240,SIN-0097,Peritaje,False,False,False,False,,2024-10-28,Documento no entregado
DOC-0241,SIN-0098,Informe técnico,False,False,False,False,,2025-04-13,Documento no entregado
DOC-0242,SIN-0098,Factura de reparación,False,False,False,False,,2025-04-18,Documento no entregado
DOC-0243,SIN-0099,Fotografías,False,False,False,False,,2024-11-30,Documento no entregado
DOC-0244,SIN-0099,Denuncia policial,False,False,False,False,,2024-11-28,Documento no entregado
DOC-0245,SIN-0100,Denuncia policial,False,False,True,False,,2025-02-20,Documento no entregado
DOC-0246,SIN-0100,Factura de reparación,False,False,False,False,,2025-02-19,Documento no entregado
DOC-0247,SIN-0101,Denuncia policial,False,False,False,False,,2024-06-05,Documento no entregado
DOC-0248,SIN-0101,Peritaje,False,False,False,False,,2024-06-02,Documento no entregado
DOC-0249,SIN-0102,Informe técnico,False,False,False,False,,2024-07-12,Documento no entregado
DOC-0250,SIN-0102,Factura de reparación,False,False,False,False,,2024-07-12,Documento no entregado
DOC-0251,SIN-0102,Denuncia policial,False,False,False,False,,2024-07-12,Documento no entregado
DOC-0252,SIN-0103,Peritaje,False,False,False,False,,2024-06-07,Documento no entregado
DOC-0253,SIN-0103,Factura de reparación,False,False,False,False,,2024-06-05,Documento no entregado
DOC-0254,SIN-0104,Fotografías,False,False,False,False,,2025-01-10,Documento no entregado
DOC-0255,SIN-0104,Informe técnico,False,False,False,False,,2025-01-12,Documento no entregado
DOC-0256,SIN-0105,Parte policial,False,False,False,False,,2025-02-09,Documento no entregado
DOC-0257,SIN-0105,Fotografías del daño,False,False,False,False,,2025-02-14,Documento no entregado
DOC-0258,SIN-0106,Fotografías del daño,False,False,False,False,,2024-06-07,Documento no entregado
DOC-0259,SIN-0106,Factura de reparación,False,False,False,False,,2024-06-11,Documento no entregado
DOC-0260,SIN-0107,Denuncia policial,False,False,False,False,,2024-06-29,Documento no entregado
DOC-0261,SIN-0107,Factura de reparación,False,False,False,False,,2024-06-26,Documento no entregado
DOC-0262,SIN-0108,Factura de reparación,False,False,False,False,,2025-02-23,Documento no entregado
DOC-0263,SIN-0108,Informe técnico,False,False,False,False,,2025-02-21,Documento no entregado
DOC-0264,SIN-0109,Fotografías del daño,False,False,False,False,,2024-10-09,Documento no entregado
DOC-0265,SIN-0109,Parte policial,False,False,False,False,,2024-10-07,Documento no entregado
DOC-0266,SIN-0110,Peritaje,False,False,False,False,,2024-10-01,Documento no entregado
DOC-0267,SIN-0110,Fotografías del daño,False,False,False,False,,2024-10-04,Documento no entregado
DOC-0268,SIN-0110,Factura de reparación,False,False,False,False,,2024-10-03,Documento no entregado
DOC-0269,SIN-0111,Fotografías del daño,False,False,False,False,,2025-02-13,Documento no entregado
DOC-0270,SIN-0111,Factura de reparación,False,False,False,False,,2025-02-16,Documento no entregado
DOC-0271,SIN-0111,Denuncia policial,False,False,False,False,,2025-02-15,Documento no entregado
DOC-0272,SIN-0112,Denuncia policial,False,False,False,False,,2024-11-16,Documento no entregado
DOC-0273,SIN-0112,Factura de reparación,False,False,False,False,,2024-11-18,Documento no entregado
DOC-0274,SIN-0112,Informe técnico,False,False,False,False,,2024-11-14,Documento no entregado
DOC-0275,SIN-0113,Denuncia policial,False,False,False,False,,2024-10-26,Documento no entregado
DOC-0276,SIN-0113,Peritaje,False,False,False,False,,2024-10-23,Documento no entregado
DOC-0277,SIN-0113,Fotografías del daño,False,False,False,False,,2024-10-26,Documento no entregado
DOC-0278,SIN-0114,Parte policial,False,False,False,False,,2025-03-15,Documento no entregado
DOC-0279,SIN-0114,Factura de reparación,False,False,False,False,,2025-03-16,Documento no entregado
DOC-0280,SIN-0114,Denuncia policial,False,False,False,False,,2025-03-18,Documento no entregado
DOC-0281,SIN-0115,Peritaje,False,False,False,False,,2024-08-28,Documento no entregado
DOC-0282,SIN-0115,Denuncia policial,False,False,False,False,,2024-08-30,Documento no entregado
DOC-0283,SIN-0115,Factura de reparación,False,False,False,False,,2024-08-25,Documento no entregado
DOC-0284,SIN-0116,Historia clínica,False,False,False,False,,2024-12-05,Documento no entregado
DOC-0285,SIN-0116,Orden médica,False,False,False,False,,2024-12-08,Documento no entregado
DOC-0286,SIN-0116,Factura hospitalaria,False,False,False,False,,2024-12-03,Documento no entregado
DOC-0287,SIN-0117,Denuncia policial,False,False,False,False,,2024-03-21,Documento no entregado
DOC-0288,SIN-0117,Factura de reparación,False,False,False,False,,2024-03-17,Documento no entregado
DOC-0289,SIN-0117,Fotografías,False,False,False,False,,2024-03-18,Documento no entregado
DOC-0290,SIN-0118,Parte policial,False,False,False,False,,2025-07-10,Documento no entregado
DOC-0291,SIN-0118,Factura de reparación,False,False,False,False,,2025-07-07,Documento no entregado
DOC-0292,SIN-0118,Fotografías del daño,False,False,False,False,,2025-07-08,Documento no entregado
DOC-0293,SIN-0119,Parte policial,False,False,False,False,,2025-02-02,Documento no entregado
DOC-0294,SIN-0119,Factura de reparación,False,False,False,False,,2025-02-02,Documento no entregado
DOC-0295,SIN-0120,Denuncia policial,False,False,False,False,,2025-02-02,Documento no entregado
DOC-0296,SIN-0120,Parte Policial,True,True,False,False,PP_SIN-0120_DOC-0296.pdf,2025-02-08,Sin observaciones
DOC-0297,SIN-0121,Factura de reparación,False,False,False,False,,2024-06-28,Documento no entregado
DOC-0298,SIN-0121,Fotografías del daño,False,False,False,False,,2024-07-03,Documento no entregado
DOC-0299,SIN-0122,Fotografías del daño,False,False,True,False,,2024-08-12,Documento no entregado
DOC-0300,SIN-0122,Factura de reparación,False,False,False,False,,2024-08-10,Documento no entregado
DOC-0301,SIN-0122,Parte policial,False,False,False,False,,2024-08-16,Documento no entregado
DOC-0302,SIN-0123,Historia clínica,False,False,False,False,,2025-01-22,Documento no entregado
DOC-0303,SIN-0123,Exámenes,False,False,False,False,,2025-01-23,Documento no entregado
