id_poliza,id_asegurado,ramo,fecha_inicio,fecha_fin,suma_asegurada,ciudad
POL-0103,ASEG-0182,Vehiculos,2024-01-30,2025-01-29,28000,Manta
POL-0104,ASEG-0014,Hogar,2024-12-10,2025-12-10,35000,Quito
POL-0105,ASEG-0102,Vehiculos,2024-06-13,2025-06-13,18000,Cuenca
POL-0106,ASEG-0106,Vehiculos,2024-04-23,2025-04-23,12000,Quito
POL-0107,ASEG-0118,Vehiculos,2024-03-27,2025-03-27,12000,Manta
POL-0108,ASEG-0018,Hogar,2024-04-21,2025-04-21,35000,Portoviejo
POL-0109,ASEG-0046,Vehiculos,2024-09-25,2025-09-25,12000,Loja
POL-0110,ASEG-0024,Vehiculos,2024-07-12,2025-07-12,28000,Ambato
POL-0111,ASEG-0070,Vehiculos,2024-12-16,2025-12-16,18000,Esmeraldas
POL-0112,ASEG-0042,Hogar,2024-10-17,2025-10-17,50000,Ibarra
POL-0113,ASEG-0008,Vehiculos,2024-08-18,2025-08-18,25000,Cuenca
POL-0114,ASEG-0183,Vehiculos,2025-01-13,2026-01-13,22000,Guayaquil
POL-0115,ASEG-0027,Vehiculos,2024-06-30,2025-06-30,28000,Ambato
POL-0116,ASEG-0036,Salud,2024-05-17,2025-05-17,50000,Esmeraldas
POL-0117,ASEG-0028,Hogar,2024-01-04,2025-01-03,30000,Loja
POL-0118,ASEG-0082,Vehiculos,2024-10-21,2025-10-21,15000,Manta
POL-0119,ASEG-0075,Vehiculos,2024-07-28,2025-07-28,25000,Portoviejo
POL-0120,ASEG-0140,Vehiculos,2024-12-25,2025-12-25,28000,Portoviejo
POL-0121,ASEG-0003,Vehiculos,2024-04-23,2025-04-23,28000,Riobamba
POL-0122,ASEG-0076,Vehiculos,2024-02-29,2025-02-28,12000,Ambato
POL-0123,ASEG-0006,Salud,2024-12-12,2025-12-12,30000,Ibarra
POL-0124,ASEG-0008,Vehiculos,2024-04-11,2025-04-11,25000,Cuenca
POL-0125,ASEG-0030,Vehiculos,2024-09-27,2025-09-27,20000,Guayaquil
POL-0126,ASEG-0031,Hogar,2024-02-29,2025-02-28,20000,Ambato
POL-0127,ASEG-0036,Vehiculos,2024-08-18,2025-08-18,30000,Esmeraldas
POL-0128,ASEG-0182,Vehiculos,2024-03-26,2025-03-26,10000,Manta
POL-0129,ASEG-0147,Vehiculos,2025-01-31,2026-01-31,28000,Loja
POL-0130,ASEG-0090,Vehiculos,2024-03-01,2025-03-01,15000,Ibarra
POL-0131,ASEG-0153,Vehiculos,2024-06-14,2025-06-14,18000,Esmeraldas
POL-0132,ASEG-0064,Vehiculos,2024-05-06,2025-05-06,22000,Guayaquil
POL-0133,ASEG-0178,Vehiculos,2024-09-06,2025-09-06,20000,Ibarra
POL-0134,ASEG-0073,Salud,2024-10-22,2025-10-22,30000,Quito
POL-0135,ASEG-0001,Vehiculos,2024-12-18,2025-12-18,12000,Manta
POL-0136,ASEG-0186,Vehiculos,2024-08-07,2025-08-07,10000,Guayaquil
POL-0137,ASEG-0123,Vehiculos,2024-07-15,2025-07-15,10000,Loja
POL-0138,ASEG-0113,Vehiculos,2024-11-17,2025-11-17,12000,Guayaquil
POL-0139,ASEG-0071,Hogar,2024-10-10,2025-10-10,35000,Esmeraldas
POL-0140,ASEG-0127,Salud,2024-05-03,2025-05-03,50000,Manta
POL-0141,ASEG-0198,Vehiculos,2024-10-27,2025-10-27,10000,Cuenca
POL-0142,ASEG-0022,Salud,2024-09-18,2025-09-18,30000,Ambato
POL-0143,ASEG-0063,Vehiculos,2024-02-29,2025-02-28,25000,Ibarra
POL-0144,ASEG-0198,Vehiculos,2024-08-07,2025-08-07,18000,Cuenca
POL-0145,ASEG-0059,Vehiculos,2024-01-02,2025-01-01,8000,Ibarra
POL-0146,ASEG-0107,Vehiculos,2024-05-18,2025-05-18,10000,Manta
POL-0147,ASEG-0023,Hogar,2024-01-05,2025-01-04,25000,Ambato
POL-0148,ASEG-0002,Vehiculos,2024-04-29,2025-04-29,28000,Cuenca
POL-0149,ASEG-0024,Vehiculos,2024-09-23,2025-09-23,22000,Ambato
POL-0150,ASEG-0081,Salud,2024-06-11,2025-06-11,50000,Portoviejo
POL-0151,ASEG-0198,Vehiculos,2024-06-06,2025-06-06,25000,Cuenca
POL-0152,ASEG-0174,Vehiculos,2024-03-30,2025-03-30,8000,Portoviejo
POL-0153,ASEG-0020,Hogar,2024-04-11,2025-04-11,40000,Ibarra
POL-0154,ASEG-0045,Vehiculos,2024-04-05,2025-04-05,18000,Loja
POL-0155,ASEG-0162,Vehiculos,2024-07-14,2025-07-14,20000,Portoviejo
POL-0156,ASEG-0121,Salud,2025-01-27,2026-01-27,60000,Ibarra
POL-0157,ASEG-0045,Vehiculos,2024-10-30,2025-10-30,20000,Loja
POL-0158,ASEG-0126,Vehiculos,2024-01-29,2025-01-28,15000,Ibarra
POL-0159,ASEG-0151,Salud,2024-09-26,2025-09-26,40000,Quito
POL-0160,ASEG-0182,Vehiculos,2024-07-01,2025-07-01,15000,Manta
POL-0161,ASEG-0164,Vehiculos,2024-09-11,2025-09-11,12000,Guayaquil
POL-0162,ASEG-0064,Vehiculos,2024-06-28,2025-06-28,18000,Guayaquil
POL-0163,ASEG-0123,Vehiculos,2024-03-24,2025-03-24,25000,Loja
POL-0164,ASEG-0181,Vehiculos,2024-11-30,2025-11-30,12000,Quito
POL-0165,ASEG-0013,Vehiculos,2024-10-08,2025-10-08,25000,Ibarra
POL-0166,ASEG-0021,Vehiculos,2024-06-06,2025-06-06,22000,Manta
POL-0167,ASEG-0145,Vehiculos,2025-01-20,2026-01-20,10000,Quito
POL-0168,ASEG-0102,Vehiculos,2024-09-14,2025-09-14,30000,Cuenca
POL-0169,ASEG-0153,Hogar,2025-01-07,2026-01-07,50000,Esmeraldas
POL-0170,ASEG-0146,Hogar,2025-01-23,2026-01-23,15000,Riobamba
POL-0171,ASEG-0104,Vehiculos,2024-11-07,2025-11-07,22000,Loja
POL-0172,ASEG-0059,Vehiculos,2025-01-15,2026-01-15,25000,Ibarra
POL-0173,ASEG-0017,Hogar,2024-07-25,2025-07-25,20000,Manta
POL-0174,ASEG-0071,Vehiculos,2024-09-15,2025-09-15,22000,Esmeraldas
POL-0175,ASEG-0073,Vehiculos,2024-01-26,2025-01-25,12000,Quito
POL-0176,ASEG-0154,Vehiculos,2024-05-09,2025-05-09,30000,Guayaquil
POL-0177,ASEG-0131,Vehiculos,2024-10-14,2025-10-14,30000,Ibarra
POL-0178,ASEG-0015,Vehiculos,2024-12-04,2025-12-04,20000,Loja
POL-0179,ASEG-0176,Hogar,2024-12-09,2025-12-09,25000,Portoviejo
POL-0180,ASEG-0108,Salud,2024-05-13,2025-05-13,60000,Cuenca
POL-0181,ASEG-0036,Vehiculos,2024-07-28,2025-07-28,30000,Esmeraldas
POL-0182,ASEG-0195,Vehiculos,2025-01-26,2026-01-26,12000,Esmeraldas
POL-0183,ASEG-0004,Vehiculos,2024-04-07,2025-04-07,8000,Ibarra
POL-0184,ASEG-0075,Salud,2024-11-01,2025-11-01,60000,Portoviejo
POL-0185,ASEG-0032,Hogar,2024-07-11,2025-07-11,40000,Riobamba
POL-0186,ASEG-0141,Vehiculos,2024-12-25,2025-12-25,12000,Guayaquil
POL-0187,ASEG-0073,Vehiculos,2024-09-11,2025-09-11,15000,Quito
POL-0188,ASEG-0004,Salud,2024-10-20,2025-10-20,80000,Ibarra
POL-0189,ASEG-0093,Vehiculos,2024-08-06,2025-08-06,10000,Ambato
POL-0190,ASEG-0096,Vehiculos,2024-02-28,2025-02-27,22000,Esmeraldas
POL-0191,ASEG-0027,Vehiculos,2024-09-04,2025-09-04,30000,Ambato
POL-0192,ASEG-0113,Vehiculos,2024-05-13,2025-05-13,20000,Guayaquil
POL-0193,ASEG-0143,Vehiculos,2024-01-06,2025-01-05,12000,Riobamba
POL-0194,ASEG-0118,Salud,2024-08-17,2025-08-17,20000,Manta
POL-0195,ASEG-0168,Vehiculos,2024-06-23,2025-06-23,20000,Guayaquil
POL-0196,ASEG-0141,Vehiculos,2024-12-25,2025-12-25,10000,Guayaquil
POL-0197,ASEG-0184,Vehiculos,2025-01-22,2026-01-22,22000,Riobamba
POL-0198,ASEG-0131,Vehiculos,2024-03-29,2025-03-29,12000,Ibarra
POL-0199,ASEG-0106,Vehiculos,2024-06-02,2025-06-02,28000,Quito
POL-0200,ASEG-0182,Hogar,2024-10-14,2025-10-14,30000,Manta
POL-0201,ASEG-0038,Vehiculos,2024-04-14,2025-04-14,28000,Quito
POL-0202,ASEG-0176,Vehiculos,2024-01-28,2025-01-27,8000,Portoviejo
POL-0203,ASEG-0175,Hogar,2024-03-29,2025-03-29,40000,Quito
POL-0204,ASEG-0040,Salud,2024-01-27,2025-01-26,80000,Cuenca
POL-0205,ASEG-0140,Vehiculos,2024-02-17,2025-02-16,20000,Portoviejo
POL-0206,ASEG-0062,Salud,2024-05-04,2025-05-04,20000,Manta
POL-0207,ASEG-0012,Vehiculos,2024-06-13,2025-06-13,28000,Quito
POL-0208,ASEG-0192,Vehiculos,2024-01-13,2025-01-12,25000,Cuenca
POL-0209,ASEG-0111,Vehiculos,2024-07-18,2025-07-18,10000,Portoviejo
POL-0210,ASEG-0073,Vehiculos,2024-07-21,2025-07-21,8000,Quito
POL-0211,ASEG-0032,Hogar,2024-10-20,2025-10-20,35000,Riobamba
POL-0212,ASEG-0050,Hogar,2024-12-09,2025-12-09,50000,Loja
POL-0213,ASEG-0026,Salud,2024-02-05,2025-02-04,30000,Portoviejo
POL-0214,ASEG-0057,Vehiculos,2024-05-21,2025-05-21,20000,Riobamba
POL-0215,ASEG-0138,Salud,2025-01-10,2026-01-10,80000,Loja
POL-0216,ASEG-0168,Hogar,2024-07-19,2025-07-19,20000,Guayaquil
POL-0217,ASEG-0115,Vehiculos,2024-10-16,2025-10-16,30000,Cuenca
POL-0218,ASEG-0167,Salud,2024-12-26,2025-12-26,60000,Manta
POL-0219,ASEG-0133,Salud,2024-06-25,2025-06-25,50000,Ibarra
POL-0220,ASEG-0107,Vehiculos,2024-09-03,2025-09-03,25000,Manta
POL-0221,ASEG-0047,Vehiculos,2024-11-02,2025-11-02,30000,Cuenca
POL-0222,ASEG-0043,Salud,2024-11-01,2025-11-01,60000,Riobamba
POL-0223,ASEG-0158,Vehiculos,2024-09-29,2025-09-29,28000,Ambato
POL-0224,ASEG-0059,Hogar,2024-06-28,2025-06-28,35000,Ibarra
POL-0225,ASEG-0182,Vehiculos,2024-10-22,2025-10-22,28000,Manta
POL-0226,ASEG-0194,Salud,2024-10-09,2025-10-09,60000,Cuenca
POL-0227,ASEG-0180,Vehiculos,2024-04-19,2025-04-19,28000,Esmeraldas
POL-0228,ASEG-0057,Vehiculos,2024-11-07,2025-11-07,8000,Riobamba
POL-0229,ASEG-0173,Vehiculos,2024-05-02,2025-05-02,8000,Quito
POL-0230,ASEG-0089,Salud,2024-11-06,2025-11-06,30000,Riobamba
POL-0231,ASEG-0178,Salud,2024-10-15,2025-10-15,50000,Ibarra
POL-0232,ASEG-0106,Hogar,2024-10-01,2025-10-01,15000,Quito
POL-0233,ASEG-0147,Vehiculos,2025-01-17,2026-01-17,15000,Loja
POL-0234,ASEG-0124,Hogar,2024-06-10,2025-06-10,30000,Ambato
POL-0235,ASEG-0101,Vehiculos,2024-08-22,2025-08-22,10000,Ibarra
POL-0236,ASEG-0069,Hogar,2024-06-24,2025-06-24,25000,Ibarra
POL-0237,ASEG-0143,Vehiculos,2024-04-10,2025-04-10,12000,Riobamba
POL-0238,ASEG-0065,Salud,2024-01-25,2025-01-24,50000,Portoviejo
POL-0239,ASEG-0006,Vehiculos,2024-06-28,2025-06-28,30000,Ibarra
POL-0240,ASEG-0162,Vehiculos,2024-11-23,2025-11-23,20000,Portoviejo
POL-0241,ASEG-0070,Hogar,2025-01-17,2026-01-17,35000,Esmeraldas
POL-0242,ASEG-0025,Vehiculos,2024-10-07,2025-10-07,8000,Loja
POL-0243,ASEG-0161,Vehiculos,2024-09-26,2025-09-26,12000,Ibarra
POL-0244,ASEG-0162,Vehiculos,2024-08-10,2025-08-10,28000,Portoviejo
POL-0245,ASEG-0074,Vehiculos,2024-01-05,2025-01-04,25000,Cuenca
POL-0246,ASEG-0064,Vehiculos,2024-07-12,2025-07-12,15000,Guayaquil
POL-0247,ASEG-0180,Vehiculos,2024-04-06,2025-04-06,20000,Esmeraldas
POL-0248,ASEG-0127,Salud,2024-08-03,2025-08-03,40000,Manta
POL-0249,ASEG-0140,Vehiculos,2024-04-08,2025-04-08,18000,Portoviejo
POL-0250,ASEG-0122,Vehiculos,2024-06-14,2025-06-14,12000,Guayaquil
POL-0251,ASEG-0084,Vehiculos,2024-05-21,2025-05-21,30000,Riobamba
POL-0252,ASEG-0016,Hogar,2024-12-25,2025-12-25,35000,Manta
POL-0253,ASEG-0092,Salud,2024-01-21,2025-01-20,50000,Ambato
POL-0254,ASEG-0116,Salud,2024-10-04,2025-10-04,40000,Portoviejo
POL-0255,ASEG-0135,Salud,2024-03-19,2025-03-19,60000,Ambato
POL-0256,ASEG-0050,Vehiculos,2024-10-19,2025-10-19,22000,Loja
POL-0257,ASEG-0093,Vehiculos,2024-07-07,2025-07-07,8000,Ambato
POL-0258,ASEG-0049,Salud,2024-12-02,2025-12-02,30000,Loja
POL-0259,ASEG-0169,Vehiculos,2024-11-03,2025-11-03,25000,Loja
POL-0260,ASEG-0115,Vehiculos,2025-01-06,2026-01-06,8000,Cuenca
POL-0261,ASEG-0025,Vehiculos,2024-07-01,2025-07-01,12000,Loja
POL-0262,ASEG-0045,Hogar,2024-02-18,2025-02-17,35000,Loja
POL-0263,ASEG-0163,Vehiculos,2024-01-28,2025-01-27,18000,Guayaquil
POL-0264,ASEG-0057,Vehiculos,2024-07-20,2025-07-20,12000,Riobamba
POL-0265,ASEG-0125,Vehiculos,2024-04-10,2025-04-10,28000,Loja
POL-0266,ASEG-0094,Hogar,2024-06-13,2025-06-13,25000,Manta
POL-0267,ASEG-0176,Salud,2025-01-22,2026-01-22,80000,Portoviejo
POL-0268,ASEG-0116,Hogar,2024-06-18,2025-06-18,20000,Portoviejo
POL-0269,ASEG-0179,Hogar,2024-01-28,2025-01-27,30000,Riobamba
POL-0270,ASEG-0098,Vehiculos,2024-06-10,2025-06-10,25000,Ambato
POL-0271,ASEG-0191,Vehiculos,2024-06-26,2025-06-26,20000,Esmeraldas
POL-0272,ASEG-0101,Vehiculos,2024-02-14,2025-02-13,22000,Ibarra
POL-0273,ASEG-0168,Vehiculos,2024-10-04,2025-10-04,15000,Guayaquil
POL-0274,ASEG-0048,Hogar,2025-01-07,2026-01-07,15000,Ibarra
POL-0275,ASEG-0060,Vehiculos,2024-07-02,2025-07-02,10000,Manta
POL-0276,ASEG-0009,Vehiculos,2024-05-18,2025-05-18,22000,Ibarra
POL-0277,ASEG-0110,Vehiculos,2024-11-07,2025-11-07,22000,Cuenca
POL-0278,ASEG-0189,Vehiculos,2024-07-17,2025-07-17,28000,Riobamba
POL-0279,ASEG-0185,Vehiculos,2024-04-02,2025-04-02,30000,Ambato
POL-0280,ASEG-0065,Hogar,2025-01-02,2026-01-02,40000,Portoviejo
POL-0281,ASEG-0197,Vehiculos,2024-10-16,2025-10-16,12000,Loja
POL-0282,ASEG-0160,Vehiculos,2024-08-22,2025-08-22,25000,Quito
POL-0283,ASEG-0141,Vehiculos,2024-11-17,2025-11-17,28000,Guayaquil
POL-0284,ASEG-0107,Hogar,2024-12-10,2025-12-10,25000,Manta
POL-0285,ASEG-0075,Vehiculos,2024-03-03,2025-03-03,18000,Portoviejo
POL-0286,ASEG-0110,Vehiculos,2024-05-12,2025-05-12,28000,Cuenca
POL-0287,ASEG-0001,Hogar,2024-08-26,2025-08-26,40000,Manta
POL-0288,ASEG-0066,Vehiculos,2024-06-02,2025-06-02,28000,Riobamba
POL-0289,ASEG-0173,Vehiculos,2024-01-19,2025-01-18,12000,Quito
POL-0290,ASEG-0091,Vehiculos,2024-05-23,2025-05-23,8000,Manta
POL-0291,ASEG-0106,Vehiculos,2024-05-01,2025-05-01,20000,Quito
POL-0292,ASEG-0124,Vehiculos,2024-06-07,2025-06-07,20000,Ambato
POL-0293,ASEG-0086,Vehiculos,2024-02-22,2025-02-21,28000,Portoviejo
POL-0294,ASEG-0070,Hogar,2024-05-20,2025-05-20,15000,Esmeraldas
POL-0295,ASEG-0157,Vehiculos,2024-08-15,2025-08-15,8000,Cuenca
POL-0296,ASEG-0183,Vehiculos,2024-02-10,2025-02-09,25000,Guayaquil
POL-0297,ASEG-0094,Hogar,2024-12-24,2025-12-24,40000,Manta
POL-0298,ASEG-0183,Hogar,2024-10-11,2025-10-11,40000,Guayaquil
POL-0299,ASEG-0178,Vehiculos,2024-08-10,2025-08-10,30000,Ibarra
POL-0300,ASEG-0084,Vehiculos,2024-08-15,2025-08-15,12000,Riobamba
POL-0301,ASEG-0097,Vehiculos,2024-08-19,2025-08-19,28000,Loja
POL-0302,ASEG-0012,Vehiculos,2024-11-09,2025-11-09,28000,Quito
POL-0303,ASEG-0056,Hogar,2024-11-16,2025-11-16,25000,Ambato
POL-0304,ASEG-0018,Vehiculos,2024-11-27,2025-11-27,8000,Portoviejo
POL-0305,ASEG-0074,Vehiculos,2024-12-30,2025-12-30,28000,Cuenca
POL-0306,ASEG-0067,Vehiculos,2024-11-08,2025-11-08,10000,Riobamba
POL-0307,ASEG-0074,Vehiculos,2024-08-03,2025-08-03,20000,Cuenca
POL-0308,ASEG-0095,Vehiculos,2024-05-26,2025-05-26,25000,Ibarra
POL-0309,ASEG-0085,Vehiculos,2024-03-30,2025-03-30,18000,Loja
POL-0310,ASEG-0031,Vehiculos,2025-01-06,2026-01-06,12000,Ambato
POL-0311,ASEG-0061,Vehiculos,2024-09-28,2025-09-28,22000,Loja
POL-0312,ASEG-0013,Vehiculos,2024-07-19,2025-07-19,25000,Ibarra
POL-0313,ASEG-0053,Vehiculos,2024-02-23,2025-02-22,25000,Ambato
POL-0314,ASEG-0078,Vehiculos,2024-12-02,2025-12-02,30000,Cuenca
POL-0315,ASEG-0033,Salud,2024-05-21,2025-05-21,20000,Riobamba
POL-0316,ASEG-0014,Hogar,2025-01-28,2026-01-28,30000,Quito
POL-0317,ASEG-0084,Vehiculos,2024-01-20,2025-01-19,22000,Riobamba
POL-0318,ASEG-0050,Vehiculos,2024-03-03,2025-03-03,30000,Loja
POL-0319,ASEG-0085,Vehiculos,2024-12-22,2025-12-22,22000,Loja
POL-0320,ASEG-0070,Vehiculos,2024-09-12,2025-09-12,28000,Esmeraldas
POL-0321,ASEG-0095,Vehiculos,2024-02-06,2025-02-05,8000,Ibarra
POL-0322,ASEG-0013,Vehiculos,2024-03-28,2025-03-28,30000,Ibarra
POL-0323,ASEG-0042,Hogar,2024-10-30,2025-10-30,20000,Ibarra
POL-0324,ASEG-0100,Vehiculos,2024-09-06,2025-09-06,10000,Cuenca
