id_vehiculo,id_poliza,placa,marca,modelo,anio
TNB-7291,POL-0059,TNB-7291,,,
IBR-1029,POL-0061,IBR-1029,,,
LOJ-5523,POL-0063,LOJ-5523,,,
PDO-1029,POL-0064,PDO-1029,,,
PIC-9182,POL-0065,PIC-9182,,,
PIC-7291,POL-0066,PIC-7291,,,
LOJ-5523,POL-0067,LOJ-5523,,,
PDO-1029,POL-0068,PDO-1029,,,
LOJ-2847,POL-0071,LOJ-2847,,,
RIO-2918,POL-0073,RIO-2918,,,
RIO-2918,POL-0074,RIO-2918,,,
IBR-3847,POL-0077,IBR-3847,,,
ESM-4847,POL-0078,ESM-4847,,,
ESM-4847,POL-0079,ESM-4847,,,
PIC-3847,POL-0080,PIC-3847,,,
TNB-4918,POL-0081,TNB-4918,,,
MNT-5834,POL-0082,MNT-5834,,,
SDO-5523,POL-0084,SDO-5523,,,
TNB-7291,POL-0087,TNB-7291,,,
TNB-0192,POL-0088,TNB-0192,,,
TNB-0192,POL-0090,TNB-0192,,,
IBR-4918,POL-0091,IBR-4918,,,
PIC-9182,POL-0092,PIC-9182,,,
AZY-8812,POL-0093,AZY-8812,,,
SDO-5523,POL-0094,SDO-5523,,,
TNB-4918,POL-0095,TNB-4918,,,
IBR-3847,POL-0096,IBR-3847,,,
TNB-3847,POL-0097,TNB-3847,,,
TNB-4918,POL-0100,TNB-4918,,,
CHB-9918,POL-0101,CHB-9918,,,
AZY-2918,POL-0103,AZY-2918,,,
RIO-2918,POL-0105,RIO-2918,,,
ESM-1234,POL-0106,ESM-1234,,,
AZY-6647,POL-0107,AZY-6647,,,
MNT-7384,POL-0109,MNT-7384,,,
LOJ-1847,POL-0110,LOJ-1847,,,
CHB-1029,POL-0111,CHB-1029,,,
MNT-2918,POL-0113,MNT-2918,,,
MNT-2918,POL-0114,MNT-2918,,,
AZY-6647,POL-0115,AZY-6647,,,
CHB-4472,POL-0118,CHB-4472,,,
TNB-7291,POL-0119,TNB-7291,,,
LOJ-0294,POL-0120,LOJ-0294,,,
GYE-2918,POL-0121,GYE-2918,,,
MNT-7384,POL-0122,MNT-7384,,,
TNB-4918,POL-0124,TNB-4918,,,
RIO-2918,POL-0125,RIO-2918,,,
AZY-8812,POL-0127,AZY-8812,,,
AZY-2918,POL-0128,AZY-2918,,,
GYE-7384,POL-0129,GYE-7384,,,
CHB-5523,POL-0130,CHB-5523,,,
LOJ-1847,POL-0131,LOJ-1847,,,
GYE-4837,POL-0132,GYE-4837,,,
CHB-9918,POL-0133,CHB-9918,,,
SDO-5523,POL-0135,SDO-5523,,,
MNT-5834,POL-0136,MNT-5834,,,
LOJ-8834,POL-0137,LOJ-8834,,,
AZY-5573,POL-0138,AZY-5573,,,
AZY-8812,POL-0141,AZY-8812,,,
PIC-2847,POL-0143,PIC-2847,,,
GYE-8371,POL-0144,GYE-8371,,,
ESM-4847,POL-0145,ESM-4847,,,
IBR-1029,POL-0146,IBR-1029,,,
AZY-8812,POL-0148,AZY-8812,,,
GYE-1029,POL-0149,GYE-1029,,,
LOJ-1847,POL-0151,LOJ-1847,,,
MNT-0847,POL-0152,MNT-0847,,,
CHB-9918,POL-0154,CHB-9918,,,
SDO-5523,POL-0155,SDO-5523,,,
ESM-4847,POL-0157,ESM-4847,,,
LOJ-1847,POL-0158,LOJ-1847,,,
LOJ-5523,POL-0160,LOJ-5523,,,
TNB-1029,POL-0161,TNB-1029,,,
GYE-1029,POL-0162,GYE-1029,,,
LOJ-5523,POL-0163,LOJ-5523,,,
SDO-5523,POL-0164,SDO-5523,,,
GYE-2918,POL-0165,GYE-2918,,,
LOJ-2847,POL-0166,LOJ-2847,,,
GYE-7384,POL-0167,GYE-7384,,,
LOJ-1847,POL-0168,LOJ-1847,,,
MNT-2918,POL-0171,MNT-2918,,,
AZY-5573,POL-0172,AZY-5573,,,
SDO-1847,POL-0174,SDO-1847,,,
PIC-2847,POL-0175,PIC-2847,,,
LOJ-1847,POL-0176,LOJ-1847,,,
AZY-1847,POL-0177,AZY-1847,,,
PIC-3847,POL-0178,PIC-3847,,,
IBR-1029,POL-0181,IBR-1029,,,
IBR-7291,POL-0182,IBR-7291,,,
IBR-4918,POL-0183,IBR-4918,,,
AZY-6647,POL-0186,AZY-6647,,,
IBR-3847,POL-0187,IBR-3847,,,
SDO-5523,POL-0189,SDO-5523,,,
MNT-0847,POL-0190,MNT-0847,,,
MNT-2918,POL-0191,MNT-2918,,,
PDO-1029,POL-0192,PDO-1029,,,
AZY-6647,POL-0193,AZY-6647,,,
PIC-7291,POL-0195,PIC-7291,,,
IBR-4918,POL-0196,IBR-4918,,,
MNT-5834,POL-0197,MNT-5834,,,
IBR-1029,POL-0198,IBR-1029,,,
LOJ-2847,POL-0199,LOJ-2847,,,
AZY-2918,POL-0201,AZY-2918,,,
PDO-1029,POL-0202,PDO-1029,,,
LOJ-8834,POL-0205,LOJ-8834,,,
PDO-1029,POL-0207,PDO-1029,,,
ESM-4847,POL-0208,ESM-4847,,,
PIC-7291,POL-0209,PIC-7291,,,
MNT-7384,POL-0210,MNT-7384,,,
MNT-2918,POL-0214,MNT-2918,,,
AZY-3841,POL-0217,AZY-3841,,,
TNB-0192,POL-0220,TNB-0192,,,
GYE-2918,POL-0221,GYE-2918,,,
CHB-5523,POL-0223,CHB-5523,,,
PDO-1029,POL-0225,PDO-1029,,,
RIO-2918,POL-0227,RIO-2918,,,
TNB-3847,POL-0228,TNB-3847,,,
PIC-7291,POL-0229,PIC-7291,,,
ESM-4847,POL-0233,ESM-4847,,,
PIC-7291,POL-0235,PIC-7291,,,
GYE-8371,POL-0237,GYE-8371,,,
PIC-9182,POL-0239,PIC-9182,,,
IBR-4918,POL-0240,IBR-4918,,,
PIC-1234,POL-0242,PIC-1234,,,
MNT-5834,POL-0243,MNT-5834,,,
PIC-2847,POL-0244,PIC-2847,,,
AZY-1847,POL-0245,AZY-1847,,,
CHB-9918,POL-0246,CHB-9918,,,
TNB-1029,POL-0247,TNB-1029,,,
GYE-8371,POL-0249,GYE-8371,,,
GYE-1029,POL-0250,GYE-1029,,,
PIC-1234,POL-0251,PIC-1234,,,
RIO-2918,POL-0256,RIO-2918,,,
PIC-1234,POL-0257,PIC-1234,,,
PDO-1029,POL-0259,PDO-1029,,,
GYE-4837,POL-0260,GYE-4837,,,
CHB-1029,POL-0261,CHB-1029,,,
TNB-0192,POL-0263,TNB-0192,,,
AZY-6647,POL-0264,AZY-6647,,,
GYE-4837,POL-0265,GYE-4837,,,
AZY-5573,POL-0270,AZY-5573,,,
PIC-2847,POL-0271,PIC-2847,,,
LOJ-2847,POL-0272,LOJ-2847,,,
GYE-1029,POL-0273,GYE-1029,,,
LOJ-1847,POL-0275,LOJ-1847,,,
SDO-5523,POL-0276,SDO-5523,,,
MNT-2918,POL-0277,MNT-2918,,,
MNT-2918,POL-0278,MNT-2918,,,
GYE-2918,POL-0279,GYE-2918,,,
PIC-3847,POL-0281,PIC-3847,,,
CHB-5523,POL-0282,CHB-5523,,,
MNT-2918,POL-0283,MNT-2918,,,
GYE-7384,POL-0285,GYE-7384,,,
LOJ-5523,POL-0286,LOJ-5523,,,
MNT-5834,POL-0288,MNT-5834,,,
PIC-3847,POL-0289,PIC-3847,,,
PIC-2847,POL-0290,PIC-2847,,,
AZY-8812,POL-0291,AZY-8812,,,
PIC-2847,POL-0292,PIC-2847,,,
CHB-9918,POL-0293,CHB-9918,,,
IBR-4918,POL-0295,IBR-4918,,,
IBR-7291,POL-0296,IBR-7291,,,
TNB-3847,POL-0299,TNB-3847,,,
IBR-4918,POL-0300,IBR-4918,,,
MNT-0847,POL-0301,MNT-0847,,,
LOJ-1847,POL-0302,LOJ-1847,,,
GYE-4837,POL-0304,GYE-4837,,,
MNT-5834,POL-0305,MNT-5834,,,
TNB-1029,POL-0306,TNB-1029,,,
AZY-1847,POL-0307,AZY-1847,,,
PIC-2847,POL-0308,PIC-2847,,,
MNT-5834,POL-0309,MNT-5834,,,
PIC-2847,POL-0310,PIC-2847,,,
ESM-1234,POL-0311,ESM-1234,,,
GYE-2918,POL-0312,GYE-2918,,,
MNT-0847,POL-0313,MNT-0847,,,
AZY-8812,POL-0314,AZY-8812,,,
LOJ-5523,POL-0317,LOJ-5523,,,
LOJ-2847,POL-0318,LOJ-2847,,,
IBR-3847,POL-0319,IBR-3847,,,
PIC-3847,POL-0320,PIC-3847,,,
AZY-1847,POL-0321,AZY-1847,,,
TNB-1029,POL-0322,TNB-1029,,,
LOJ-5523,POL-0324,LOJ-5523,,,
IBR-3847,POL-0326,IBR-3847,,,
MNT-2918,POL-0327,MNT-2918,,,
AZY-1847,POL-0331,AZY-1847,,,
AZY-1847,POL-0334,AZY-1847,,,
CHB-4472,POL-0335,CHB-4472,,,
MNT-5834,POL-0336,MNT-5834,,,
TNB-7291,POL-0337,TNB-7291,,,
ESM-4847,POL-0338,ESM-4847,,,
PIC-1234,POL-0339,PIC-1234,,,
PIC-9182,POL-0341,PIC-9182,,,
IBR-7291,POL-0342,IBR-7291,,,
LOJ-8834,POL-0343,LOJ-8834,,,
CHB-2847,POL-0344,CHB-2847,,,
CHB-4472,POL-0348,CHB-4472,,,
CHB-5523,POL-0349,CHB-5523,,,
PIC-9182,POL-0350,PIC-9182,,,
IBR-7291,POL-0351,IBR-7291,,,
AZY-6647,POL-0352,AZY-6647,,,
PIC-9182,POL-0353,PIC-9182,,,
GYE-7384,POL-0354,GYE-7384,,,
MNT-7384,POL-0357,MNT-7384,,,
GYE-1029,POL-0358,GYE-1029,,,
SDO-5523,POL-0359,SDO-5523,,,
CHB-9918,POL-0360,CHB-9918,,,
ESM-1234,POL-0361,ESM-1234,,,
LOJ-8834,POL-0362,LOJ-8834,,,
MNT-5834,POL-0364,MNT-5834,,,
TNB-1029,POL-0367,TNB-1029,,,
LOJ-2847,POL-0368,LOJ-2847,,,
MNT-7384,POL-0369,MNT-7384,,,
TNB-7291,POL-0370,TNB-7291,,,
AZY-5573,POL-0371,AZY-5573,,,
RIO-2918,POL-0372,RIO-2918,,,
AZY-5573,POL-0376,AZY-5573,,,
TNB-0192,POL-0377,TNB-0192,,,
PIC-5519,POL-0378,PIC-5519,,,
ESM-1234,POL-0379,ESM-1234,,,
RIO-2918,POL-0380,RIO-2918,,,
AZY-5573,POL-0381,AZY-5573,,,
ESM-1234,POL-0383,ESM-1234,,,
ESM-1234,POL-0384,ESM-1234,,,
PIC-9182,POL-0385,PIC-9182,,,
AZY-6647,POL-0388,AZY-6647,,,
GYE-7384,POL-0391,GYE-7384,,,
TNB-3847,POL-0393,TNB-3847,,,
IBR-7291,POL-0397,IBR-7291,,,
TNB-7291,POL-0398,TNB-7291,,,
AZY-8812,POL-0400,AZY-8812,,,
TNB-2291,POL-0401,TNB-2291,,,
LOJ-5523,POL-0402,LOJ-5523,,,
AZY-2918,POL-0403,AZY-2918,,,
SDO-1847,POL-0405,SDO-1847,,,
AZY-1847,POL-0406,AZY-1847,,,
PIC-1234,POL-0407,PIC-1234,,,
PIC-1234,POL-0408,PIC-1234,,,
LOJ-2847,POL-0409,LOJ-2847,,,
SDO-1847,POL-0410,SDO-1847,,,
AZY-1847,POL-0411,AZY-1847,,,
TNB-3847,POL-0412,TNB-3847,,,
GYE-2918,POL-0413,GYE-2918,,,
PIC-7291,POL-0416,PIC-7291,,,
SDO-1847,POL-0419,SDO-1847,,,
AZY-2918,POL-0421,AZY-2918,,,
SDO-5523,POL-0422,SDO-5523,,,
IBR-3847,POL-0423,IBR-3847,,,
TNB-0192,POL-0424,TNB-0192,,,
CHB-9918,POL-0426,CHB-9918,,,
PIC-8847,POL-0427,PIC-8847,,,
AZY-8812,POL-0428,AZY-8812,,,
IBR-1029,POL-0429,IBR-1029,,,
TNB-0192,POL-0430,TNB-0192,,,
TNB-0192,POL-0432,TNB-0192,,,
MNT-2918,POL-0433,MNT-2918,,,
LOJ-1847,POL-0434,LOJ-1847,,,
TNB-4918,POL-0435,TNB-4918,,,
MNT-0847,POL-0436,MNT-0847,,,
CHB-1029,POL-0437,CHB-1029,,,
LOJ-8834,POL-0438,LOJ-8834,,,
IBR-7291,POL-0440,IBR-7291,,,
LOJ-2847,POL-0442,LOJ-2847,,,
CHB-9918,POL-0443,CHB-9918,,,
LOJ-1847,POL-0444,LOJ-1847,,,
CHB-4472,POL-0446,CHB-4472,,,
TNB-3847,POL-0447,TNB-3847,,,
GYE-8834,POL-0448,GYE-8834,,,
AZY-6647,POL-0451,AZY-6647,,,
CHB-1029,POL-0453,CHB-1029,,,
AZY-8812,POL-0454,AZY-8812,,,
TNB-6629,POL-0456,TNB-6629,,,
GYE-1029,POL-0459,GYE-1029,,,
GYE-1029,POL-0462,GYE-1029,,,
IBR-4918,POL-0465,IBR-4918,,,
AZY-8812,POL-0466,AZY-8812,,,
AZY-1847,POL-0467,AZY-1847,,,
RIO-2918,POL-0468,RIO-2918,,,
MNT-0847,POL-0469,MNT-0847,,,
AZY-6647,POL-0472,AZY-6647,,,
ESM-1234,POL-0474,ESM-1234,,,
TNB-4918,POL-0475,TNB-4918,,,
SDO-1847,POL-0476,SDO-1847,,,
ESM-1234,POL-0477,ESM-1234,,,
AZY-1847,POL-0478,AZY-1847,,,
PIC-3847,POL-0479,PIC-3847,,,
TNB-4918,POL-0480,TNB-4918,,,
GYE-4837,POL-0481,GYE-4837,,,
AZY-1847,POL-0482,AZY-1847,,,
PIC-2847,POL-0483,PIC-2847,,,
CHB-1029,POL-0484,CHB-1029,,,
GYE-2918,POL-0485,GYE-2918,,,
CHB-5523,POL-0486,CHB-5523,,,
SDO-1847,POL-0487,SDO-1847,,,
GYE-2918,POL-0490,GYE-2918,,,
TNB-0192,POL-0491,TNB-0192,,,
PIC-1234,POL-0493,PIC-1234,,,
LOJ-2847,POL-0494,LOJ-2847,,,
CHB-4472,POL-0495,CHB-4472,,,
GYE-8371,POL-0496,GYE-8371,,,
PIC-9182,POL-0498,PIC-9182,,,
ESM-1234,POL-0499,ESM-1234,,,
LOJ-2847,POL-0500,LOJ-2847,,,
