id_vehiculo,id_poliza,placa,chasis,motor,marca,modelo,anio
VEH00058,POL00058,EC7517,CHS2314151739,MTR133907572,Toyota,Hatchback,2025
VEH00059,POL00059,EC3742,CHS5770803206,MTR540425941,Hyundai,Van,2016
VEH00060,POL00060,EC8271,CHS7644443175,MTR720550424,Toyota,Pickup,2017
VEH00061,POL00061,EC7256,CHS6753645722,MTR544517815,Chevrolet,SUV,2015
VEH00062,POL00062,EC5248,CHS2998659425,MTR860965543,Nissan,Hatchback,2022
VEH00063,POL00063,EC4342,CHS5231420341,MTR828571020,Kia,Van,2023
VEH00064,POL00064,EC4947,CHS7784974834,MTR220789899,Chevrolet,SUV,2023
VEH00065,POL00065,EC1245,CHS5771451720,MTR753275569,Chevrolet,Van,2014
VEH00066,POL00066,EC6534,CHS5226984555,MTR931513377,Hyundai,Sedan,2017
VEH00067,POL00067,EC1392,CHS4514131599,MTR110984558,Chevrolet,Pickup,2015
VEH00068,POL00068,EC9761,CHS1870203846,MTR154182349,Kia,SUV,2022
VEH00069,POL00069,EC2838,CHS2805223026,MTR554880081,Chevrolet,Van,2020
VEH00070,POL00070,EC3872,CHS1232521792,MTR730250505,Mazda,Hatchback,2019
VEH00071,POL00071,EC8170,CHS9162071026,MTR486169288,Kia,Van,2024
VEH00072,POL00072,EC9663,CHS7552035468,MTR334407218,Kia,Van,2020
VEH00073,POL00073,EC5498,CHS3598632886,MTR864752354,Chevrolet,SUV,2020
VEH00074,POL00074,EC7657,CHS5398137150,MTR696935564,Hyundai,Hatchback,2022
VEH00075,POL00075,EC4792,CHS2035721983,MTR307822645,Chevrolet,Pickup,2019
VEH00076,POL00076,EC9316,CHS7758983165,MTR508720213,Kia,Hatchback,2025
VEH00077,POL00077,EC6808,CHS4451483991,MTR137670657,Nissan,SUV,2015
VEH00078,POL00078,EC2774,CHS3991062465,MTR376527871,Nissan,SUV,2023
VEH00079,POL00079,EC8019,CHS2951789984,MTR390847278,Chevrolet,Pickup,2014
VEH00080,POL00080,EC9061,CHS2096123046,MTR469304237,Hyundai,Hatchback,2014
VEH00081,POL00081,EC1132,CHS9220528682,MTR901408067,Chevrolet,Hatchback,2016
VEH00082,POL00082,EC5805,CHS2723490407,MTR862969309,Mazda,Van,2021
VEH00083,POL00083,EC6014,CHS6760813660,MTR459907437,Hyundai,Van,2020
VEH00084,POL00084,EC6815,CHS2165425311,MTR651418314,Chevrolet,Hatchback,2021
VEH00085,POL00085,EC3045,CHS5108191973,MTR836493700,Nissan,Van,2023
VEH00086,POL00086,EC9678,CHS2194616707,MTR581177573,Hyundai,SUV,2018
VEH00087,POL00087,EC5967,CHS3933193318,MTR370763090,Nissan,Van,2014
VEH00088,POL00088,EC7968,CHS8245230431,MTR765674441,Chevrolet,Van,2024
VEH00089,POL00089,EC6079,CHS2818761674,MTR292084124,Toyota,SUV,2014
VEH00090,POL00090,EC3602,CHS5478977493,MTR298784977,Chevrolet,Hatchback,2020
VEH00091,POL00091,EC3512,CHS7946926318,MTR358431135,Nissan,Pickup,2024
VEH00092,POL00092,EC7830,CHS3117288132,MTR773972861,Hyundai,Hatchback,2016
VEH00093,POL00093,EC7219,CHS6555559911,MTR121202714,Toyota,Hatchback,2021
VEH00094,POL00094,EC6577,CHS3378077278,MTR290617965,Chevrolet,Pickup,2024
VEH00095,POL00095,EC8685,CHS9934434361,MTR731441256,Hyundai,Sedan,2017
VEH00096,POL00096,EC4017,CHS3292380175,MTR974053974,Mazda,Hatchback,2025
VEH00097,POL00097,EC2581,CHS7601156413,MTR431771871,Chevrolet,Pickup,2023
VEH00098,POL00098,EC3715,CHS6825571509,MTR879429114,Nissan,Sedan,2022
VEH00099,POL00099,EC3984,CHS3227033386,MTR936585757,Toyota,Sedan,2021
VEH00100,POL00100,EC4208,CHS1493502919,MTR508394759,Mazda,SUV,2017
VEH00101,POL00101,EC4986,CHS7351669360,MTR542392837,Chevrolet,Hatchback,2016
VEH00102,POL00102,EC7298,CHS5453849903,MTR364916636,Mazda,Sedan,2021
VEH00103,POL00103,EC3706,CHS2234581126,MTR320297198,Kia,Hatchback,2024
VEH00104,POL00104,EC4973,CHS3563584657,MTR432751642,Mazda,Pickup,2014
VEH00105,POL00105,EC2744,CHS2333097707,MTR889197901,Nissan,Sedan,2024
VEH00106,POL00106,EC8926,CHS8971030481,MTR263422410,Chevrolet,Pickup,2018
VEH00107,POL00107,EC1866,CHS1187759376,MTR771804816,Chevrolet,Van,2014
VEH00108,POL00108,EC1584,CHS5080746188,MTR773567880,Kia,Sedan,2014
VEH00109,POL00109,EC3653,CHS1832849863,MTR908040776,Nissan,Pickup,2015
VEH00110,POL00110,EC5951,CHS4560606453,MTR862435151,Nissan,Sedan,2016
VEH00111,POL00111,EC1309,CHS5475130550,MTR381062259,Nissan,Pickup,2017
VEH00112,POL00112,EC3414,CHS9839546459,MTR351197628,Chevrolet,Sedan,2019
VEH00113,POL00113,EC3967,CHS4043820142,MTR854225374,Mazda,Van,2016
VEH00114,POL00114,EC4435,CHS1355743328,MTR625305685,Chevrolet,SUV,2020
VEH00115,POL00115,EC4313,CHS1484138943,MTR442842500,Kia,Pickup,2023
VEH00116,POL00116,EC4208,CHS1281409361,MTR650868171,Mazda,Sedan,2021
VEH00117,POL00117,EC4961,CHS3272150686,MTR919980020,Mazda,Pickup,2020
VEH00118,POL00118,EC4393,CHS6959616868,MTR506062818,Nissan,SUV,2020
VEH00119,POL00119,EC6287,CHS9965533733,MTR396582568,Nissan,Pickup,2024
VEH00120,POL00120,EC3660,CHS3211080022,MTR180060578,Chevrolet,SUV,2022
VEH00121,POL00121,EC4724,CHS2690242126,MTR867608050,Nissan,Van,2015
VEH00122,POL00122,EC6980,CHS1161958588,MTR377849727,Hyundai,Sedan,2015
VEH00123,POL00123,EC9281,CHS1407232182,MTR786359559,Mazda,Van,2020
VEH00124,POL00124,EC6949,CHS6807227076,MTR873249264,Kia,SUV,2025
VEH00125,POL00125,EC4457,CHS6595592935,MTR878344343,Hyundai,Sedan,2019
VEH00126,POL00126,EC3293,CHS5643045219,MTR398516751,Chevrolet,Hatchback,2021
VEH00127,POL00127,EC2238,CHS2611509859,MTR736327010,Kia,Hatchback,2022
VEH00128,POL00128,EC2580,CHS6882368717,MTR335944126,Hyundai,Sedan,2018
VEH00129,POL00129,EC8279,CHS1519948876,MTR113944679,Nissan,Pickup,2025
VEH00130,POL00130,EC6973,CHS4318618525,MTR354386896,Toyota,SUV,2023
VEH00131,POL00131,EC3919,CHS8301543897,MTR298483141,Mazda,SUV,2021
VEH00132,POL00132,EC1605,CHS8940884969,MTR997764228,Nissan,SUV,2021
VEH00133,POL00133,EC5642,CHS6512000084,MTR320314469,Chevrolet,Van,2023
VEH00134,POL00134,EC4781,CHS9406068807,MTR747470533,Kia,Pickup,2023
VEH00135,POL00135,EC2235,CHS7150379711,MTR708905419,Chevrolet,SUV,2023
VEH00136,POL00136,EC2456,CHS2063305648,MTR881945417,Nissan,Hatchback,2021
VEH00137,POL00137,EC1942,CHS3142948242,MTR380980795,Nissan,Pickup,2024
VEH00138,POL00138,EC5766,CHS7764900641,MTR470450374,Toyota,SUV,2016
VEH00139,POL00139,EC4913,CHS9395354953,MTR848691290,Chevrolet,Van,2016
VEH00140,POL00140,EC9296,CHS8695255204,MTR577189711,Nissan,SUV,2015
VEH00141,POL00141,EC8224,CHS8880872925,MTR512276631,Hyundai,Pickup,2021
VEH00142,POL00142,EC6828,CHS8734806587,MTR818747183,Kia,Van,2020
VEH00143,POL00143,EC2866,CHS7632300146,MTR319264351,Chevrolet,Sedan,2019
VEH00144,POL00144,EC5930,CHS4923148939,MTR573029904,Nissan,SUV,2025
VEH00145,POL00145,EC9176,CHS5256846610,MTR814623299,Chevrolet,Pickup,2022
VEH00146,POL00146,EC3103,CHS7363335396,MTR760475169,Hyundai,Sedan,2024
VEH00147,POL00147,EC3445,CHS6678946023,MTR598604117,Chevrolet,Van,2015
VEH00148,POL00148,EC2931,CHS2382499291,MTR147528794,Toyota,Hatchback,2016
VEH00149,POL00149,EC7504,CHS6073111656,MTR836779776,Kia,Hatchback,2017
VEH00150,POL00150,EC8382,CHS4493455190,MTR514461582,Chevrolet,Sedan,2023
VEH00151,POL00151,EC8543,CHS5299820622,MTR914292019,Kia,Pickup,2019
VEH00152,POL00152,EC3308,CHS1137846373,MTR828117971,Hyundai,Pickup,2018
VEH00153,POL00153,EC1418,CHS1157618535,MTR150458973,Hyundai,Pickup,2025
VEH00154,POL00154,EC7606,CHS4485948215,MTR684755125,Mazda,Pickup,2014
VEH00155,POL00155,EC8290,CHS4445767882,MTR494746390,Hyundai,Hatchback,2020
VEH00156,POL00156,EC1082,CHS9204610945,MTR204862178,Nissan,Pickup,2016
VEH00157,POL00157,EC3681,CHS1765815141,MTR681907812,Hyundai,SUV,2021
VEH00158,POL00158,EC3880,CHS2406499662,MTR899703231,Toyota,Pickup,2021
VEH00159,POL00159,EC4247,CHS8745527113,MTR731397770,Nissan,Van,2025
VEH00160,POL00160,EC7467,CHS9817567667,MTR748161279,Nissan,SUV,2014
VEH00161,POL00161,EC6013,CHS6874519185,MTR445211984,Toyota,Hatchback,2022
VEH00162,POL00162,EC1192,CHS1849850464,MTR913844691,Mazda,Sedan,2015
VEH00163,POL00163,EC5938,CHS5286169782,MTR175249368,Mazda,Hatchback,2025
VEH00164,POL00164,EC2437,CHS4733470255,MTR305914452,Hyundai,Hatchback,2020
VEH00165,POL00165,EC7708,CHS9759560403,MTR467462493,Mazda,Hatchback,2025
VEH00166,POL00166,EC1947,CHS3608233222,MTR713455759,Chevrolet,Van,2021
VEH00167,POL00167,EC5366,CHS7445540400,MTR914360522,Chevrolet,Sedan,2017
VEH00168,POL00168,EC6930,CHS2183836786,MTR372618100,Toyota,Sedan,2018
VEH00169,POL00169,EC5475,CHS1546299031,MTR972793500,Hyundai,SUV,2016
VEH00170,POL00170,EC7366,CHS2243614279,MTR527056486,Toyota,Sedan,2022
VEH00171,POL00171,EC4461,CHS9514954742,MTR486719268,Chevrolet,Sedan,2025
VEH00172,POL00172,EC1453,CHS6758817095,MTR333079136,Toyota,Pickup,2023
VEH00173,POL00173,EC3908,CHS1325356922,MTR349895984,Toyota,Pickup,2015
VEH00174,POL00174,EC3619,CHS3374818660,MTR730653980,Kia,Sedan,2024
VEH00175,POL00175,EC1709,CHS4011249682,MTR293872034,Mazda,Van,2016
VEH00176,POL00176,EC9135,CHS5773901607,MTR145463832,Mazda,Sedan,2014
VEH00177,POL00177,EC9500,CHS3952084766,MTR731732086,Mazda,SUV,2019
VEH00178,POL00178,EC9707,CHS5026736207,MTR802520065,Hyundai,Pickup,2024
VEH00179,POL00179,EC8342,CHS8194228717,MTR994929985,Toyota,SUV,2023
VEH00180,POL00180,EC8173,CHS5221860849,MTR891129368,Hyundai,Sedan,2015
VEH00181,POL00181,EC3774,CHS5060505520,MTR488211000,Chevrolet,Sedan,2018
VEH00182,POL00182,EC8540,CHS8158587068,MTR419513828,Mazda,SUV,2017
VEH00183,POL00183,EC7515,CHS3982035283,MTR200456556,Chevrolet,Pickup,2017
VEH00184,POL00184,EC2320,CHS2085696461,MTR997220020,Kia,Van,2018
VEH00185,POL00185,EC2860,CHS3950173433,MTR637049807,Toyota,SUV,2019
VEH00186,POL00186,EC1304,CHS7267681293,MTR229237911,Kia,Pickup,2023
VEH00187,POL00187,EC9667,CHS8019123305,MTR225337705,Chevrolet,Pickup,2015
VEH00188,POL00188,EC9285,CHS3725591761,MTR336968625,Toyota,Pickup,2023
VEH00189,POL00189,EC2644,CHS7794237203,MTR975231717,Nissan,Van,2014
VEH00190,POL00190,EC6148,CHS1438386698,MTR369578130,Mazda,Pickup,2018
VEH00191,POL00191,EC1359,CHS4562781575,MTR823528756,Hyundai,Hatchback,2019
VEH00192,POL00192,EC2771,CHS3371780136,MTR532672465,Nissan,SUV,2015
VEH00193,POL00193,EC6569,CHS3645609641,MTR755287140,Kia,SUV,2016
VEH00194,POL00194,EC7724,CHS3663032347,MTR523100839,Nissan,Hatchback,2024
VEH00195,POL00195,EC6105,CHS7862566179,MTR763552417,Toyota,Pickup,2020
VEH00196,POL00196,EC7845,CHS8597758086,MTR738093135,Kia,Pickup,2017
VEH00197,POL00197,EC4863,CHS6529831060,MTR477889189,Nissan,Van,2016
VEH00198,POL00198,EC9224,CHS7287593250,MTR515184292,Mazda,SUV,2021
VEH00199,POL00199,EC9720,CHS8195734395,MTR662785517,Kia,Pickup,2022
VEH00200,POL00200,EC5177,CHS7475248513,MTR508113162,Chevrolet,Van,2016
VEH00201,POL00201,EC3543,CHS7472113541,MTR928699252,Nissan,SUV,2023
VEH00202,POL00202,EC9411,CHS9615873315,MTR419542893,Hyundai,Hatchback,2017
VEH00203,POL00203,EC8172,CHS3812795233,MTR692259547,Mazda,Hatchback,2020
VEH00204,POL00204,EC4011,CHS9784321418,MTR488333287,Toyota,Hatchback,2023
VEH00205,POL00205,EC6877,CHS7402641737,MTR360486023,Chevrolet,Van,2017
VEH00206,POL00206,EC3919,CHS9761493285,MTR562257543,Nissan,Hatchback,2021
VEH00207,POL00207,EC9133,CHS5585754230,MTR584021223,Mazda,Hatchback,2022
VEH00208,POL00208,EC1131,CHS3976249436,MTR939614916,Mazda,Pickup,2017
VEH00209,POL00209,EC5720,CHS5084036589,MTR129539841,Mazda,SUV,2016
VEH00210,POL00210,EC6711,CHS4539448036,MTR331009641,Nissan,Van,2020
VEH00211,POL00211,EC8862,CHS8142860971,MTR195646245,Hyundai,Van,2023
VEH00212,POL00212,EC2651,CHS3678147492,MTR704923018,Mazda,Pickup,2016
VEH00213,POL00213,EC8560,CHS2012593939,MTR407210794,Toyota,Pickup,2025
VEH00214,POL00214,EC6797,CHS1376088731,MTR611175469,Kia,Sedan,2022
VEH00215,POL00215,EC6694,CHS8865675030,MTR705930800,Nissan,Sedan,2023
VEH00216,POL00216,EC1881,CHS1260627734,MTR420003824,Nissan,Hatchback,2018
VEH00217,POL00217,EC8861,CHS8505434481,MTR574195019,Kia,Hatchback,2019
VEH00218,POL00218,EC6069,CHS6958073517,MTR454076020,Toyota,Hatchback,2018
VEH00219,POL00219,EC4931,CHS3001019495,MTR158677155,Kia,Hatchback,2015
VEH00220,POL00220,EC4292,CHS9299646333,MTR519436019,Kia,Pickup,2016
VEH00221,POL00221,EC3029,CHS1551687924,MTR760628906,Mazda,Pickup,2021
VEH00222,POL00222,EC3978,CHS3502334906,MTR931706865,Toyota,Sedan,2019
VEH00223,POL00223,EC8260,CHS1159169032,MTR389804546,Mazda,Sedan,2014
VEH00224,POL00224,EC3629,CHS1901234195,MTR304560471,Toyota,SUV,2020
VEH00225,POL00225,EC7634,CHS3799535968,MTR298996177,Toyota,Hatchback,2015
VEH00226,POL00226,EC3899,CHS4186174918,MTR258649531,Kia,Hatchback,2024
VEH00227,POL00227,EC2936,CHS3133924331,MTR807767999,Toyota,Pickup,2022
VEH00228,POL00228,EC8310,CHS9339175195,MTR128602441,Mazda,Sedan,2023
VEH00229,POL00229,EC8048,CHS4145349662,MTR174066967,Hyundai,Hatchback,2020
VEH00230,POL00230,EC2390,CHS4874680219,MTR364632698,Hyundai,Pickup,2019
VEH00231,POL00231,EC3464,CHS6268925391,MTR180555455,Mazda,Van,2021
VEH00232,POL00232,EC3068,CHS1340016304,MTR736847845,Chevrolet,SUV,2018
VEH00233,POL00233,EC4370,CHS5655368303,MTR518636835,Toyota,Sedan,2018
VEH00234,POL00234,EC6901,CHS6519814816,MTR775615308,Toyota,Van,2019
VEH00235,POL00235,EC2863,CHS5953784562,MTR934925421,Hyundai,Van,2018
VEH00236,POL00236,EC1157,CHS5667656601,MTR662006038,Hyundai,Van,2021
VEH00237,POL00237,EC8843,CHS5466447229,MTR105126254,Nissan,Van,2017
VEH00238,POL00238,EC2152,CHS9796983220,MTR853152359,Mazda,Van,2025
VEH00239,POL00239,EC6358,CHS2033121996,MTR642758454,Kia,Van,2016
VEH00240,POL00240,EC8617,CHS6905305630,MTR677425094,Hyundai,Hatchback,2025
VEH00241,POL00241,EC5795,CHS7465511665,MTR216190375,Toyota,Sedan,2019
VEH00242,POL00242,EC1733,CHS2494481461,MTR804207647,Chevrolet,Sedan,2025
VEH00243,POL00243,EC6531,CHS8479116647,MTR618895960,Mazda,Hatchback,2018
VEH00244,POL00244,EC2684,CHS8767295497,MTR752006189,Kia,Hatchback,2017
VEH00245,POL00245,EC6196,CHS1675532992,MTR639396314,Kia,SUV,2023
VEH00246,POL00246,EC9243,CHS6607892583,MTR677394790,Chevrolet,SUV,2024
VEH00247,POL00247,EC2826,CHS5588619338,MTR136653129,Hyundai,Hatchback,2025
VEH00248,POL00248,EC8443,CHS8883273218,MTR342437567,Hyundai,Pickup,2014
VEH00249,POL00249,EC9809,CHS1548042728,MTR200169381,Toyota,Hatchback,2025
VEH00250,POL00250,EC5653,CHS9916250593,MTR621493454,Kia,Sedan,2024
VEH00251,POL00251,EC3801,CHS3001330270,MTR307059464,Hyundai,Pickup,2019
VEH00252,POL00252,EC1728,CHS9592617704,MTR397064178,Mazda,Sedan,2016
VEH00253,POL00253,EC5502,CHS6041781943,MTR239224450,Kia,Sedan,2015
VEH00254,POL00254,EC3354,CHS4402604274,MTR966474965,Hyundai,Sedan,2020
VEH00255,POL00255,EC8617,CHS8693477338,MTR660035840,Hyundai,Pickup,2019
VEH00256,POL00256,EC1785,CHS5922526254,MTR905157597,Hyundai,SUV,2015
VEH00257,POL00257,EC4150,CHS1345751661,MTR338435945,Chevrolet,Pickup,2022
VEH00258,POL00258,EC8744,CHS1969469745,MTR332893563,Kia,Van,2016
VEH00259,POL00259,EC7735,CHS2638916427,MTR904862354,Hyundai,Hatchback,2015
VEH00260,POL00260,EC5535,CHS3267850013,MTR858953551,Kia,Sedan,2023
VEH00261,POL00261,EC8492,CHS6345242179,MTR545325562,Kia,SUV,2014
VEH00262,POL00262,EC9457,CHS3122965902,MTR314305787,Toyota,Pickup,2019
VEH00263,POL00263,EC5226,CHS9844196591,MTR982357369,Nissan,Hatchback,2017
VEH00264,POL00264,EC9008,CHS4404452040,MTR569955489,Mazda,Hatchback,2015
VEH00265,POL00265,EC8132,CHS7920920786,MTR475513671,Nissan,Sedan,2014
VEH00266,POL00266,EC9294,CHS4144157409,MTR870785773,Chevrolet,Hatchback,2015
VEH00267,POL00267,EC7648,CHS9037564514,MTR164751577,Kia,Van,2014
VEH00268,POL00268,EC9219,CHS8293154451,MTR278074483,Chevrolet,Hatchback,2020
VEH00269,POL00269,EC2126,CHS9592026519,MTR326086129,Chevrolet,SUV,2015
VEH00270,POL00270,EC4032,CHS1053981630,MTR254962028,Toyota,Van,2024
VEH00271,POL00271,EC2978,CHS8750509182,MTR393185796,Mazda,Hatchback,2017
VEH00272,POL00272,EC3766,CHS8076777641,MTR698358203,Mazda,Van,2024
VEH00273,POL00273,EC9174,CHS9872193834,MTR916091931,Nissan,SUV,2017
VEH00274,POL00274,EC5345,CHS3299601522,MTR952500590,Toyota,Hatchback,2014
VEH00275,POL00275,EC4153,CHS7848063664,MTR356633769,Chevrolet,Van,2015
VEH00276,POL00276,EC3371,CHS1047502000,MTR810097859,Nissan,Hatchback,2025
VEH00277,POL00277,EC1454,CHS8476905743,MTR736144243,Hyundai,Pickup,2018
VEH00278,POL00278,EC4789,CHS3738978698,MTR569981114,Kia,Sedan,2023
VEH00279,POL00279,EC9299,CHS5709839180,MTR798648664,Hyundai,Hatchback,2018
VEH00280,POL00280,EC6254,CHS5598560198,MTR810163170,Hyundai,Van,2014
VEH00281,POL00281,EC5336,CHS8674150669,MTR517505475,Chevrolet,SUV,2015
VEH00282,POL00282,EC4622,CHS7143637558,MTR418531908,Kia,Van,2021
VEH00283,POL00283,EC8640,CHS3828900086,MTR313090002,Kia,Van,2025
VEH00284,POL00284,EC5950,CHS6894644352,MTR236106219,Mazda,Pickup,2014
VEH00285,POL00285,EC9493,CHS4204211524,MTR522394156,Kia,Pickup,2016
VEH00286,POL00286,EC1201,CHS5465264957,MTR452546340,Nissan,Sedan,2017
VEH00287,POL00287,EC7749,CHS9711788452,MTR603945547,Nissan,Sedan,2025
VEH00288,POL00288,EC1000,CHS6207862651,MTR335357738,Nissan,Pickup,2025
VEH00289,POL00289,EC9874,CHS6626469382,MTR595896922,Hyundai,SUV,2015
VEH00290,POL00290,EC9527,CHS9849029372,MTR234984408,Toyota,Hatchback,2016
VEH00291,POL00291,EC2012,CHS3887481981,MTR907996929,Toyota,Hatchback,2016
VEH00292,POL00292,EC9838,CHS5177469690,MTR564060514,Chevrolet,SUV,2022
VEH00293,POL00293,EC5272,CHS9285989653,MTR633463645,Chevrolet,Van,2023
VEH00294,POL00294,EC1279,CHS7453454016,MTR922213356,Chevrolet,Van,2023
VEH00295,POL00295,EC5330,CHS6062669840,MTR564018044,Mazda,Pickup,2014
VEH00296,POL00296,EC8649,CHS7691029193,MTR734629496,Kia,Pickup,2024
VEH00297,POL00297,EC7381,CHS5864890038,MTR197900029,Mazda,SUV,2021
VEH00298,POL00298,EC2594,CHS6259745706,MTR324636670,Nissan,Sedan,2021
VEH00299,POL00299,EC7051,CHS3962356740,MTR753464806,Kia,Pickup,2021
VEH00300,POL00300,EC1673,CHS7858057756,MTR198570827,Nissan,Sedan,2014
VEH00301,POL00301,EC4557,CHS9491104824,MTR937518728,Nissan,SUV,2017
VEH00302,POL00302,EC8358,CHS5371300351,MTR676088996,Kia,Van,2017
VEH00303,POL00303,EC7452,CHS6838634031,MTR472912243,Nissan,Pickup,2018
VEH00304,POL00304,EC7070,CHS3540626112,MTR496911476,Kia,Hatchback,2015
VEH00305,POL00305,EC4003,CHS6908175592,MTR230621257,Hyundai,Van,2014
VEH00306,POL00306,EC1180,CHS5356661261,MTR890159087,Nissan,SUV,2015
VEH00307,POL00307,EC6654,CHS5009116760,MTR817419799,Nissan,Pickup,2015
VEH00308,POL00308,EC8355,CHS2323255720,MTR226475074,Chevrolet,Sedan,2024
VEH00309,POL00309,EC6693,CHS1336199516,MTR694219808,Mazda,Sedan,2025
VEH00310,POL00310,EC2677,CHS7610576367,MTR686456614,Chevrolet,Sedan,2017
VEH00311,POL00311,EC2936,CHS9847774542,MTR668331845,Mazda,Hatchback,2023
VEH00312,POL00312,EC4058,CHS6491997789,MTR553380470,Toyota,Sedan,2017
VEH00313,POL00313,EC5088,CHS7337243643,MTR734595194,Nissan,Hatchback,2020
VEH00314,POL00314,EC6109,CHS5897725041,MTR327961146,Hyundai,Hatchback,2020
VEH00315,POL00315,EC3838,CHS6074197469,MTR812731366,Hyundai,Hatchback,2025
VEH00316,POL00316,EC4193,CHS3050342607,MTR341039182,Kia,SUV,2020
