id_asegurado,segmento,antiguedad_meses,ciudad,numero_polizas,reclamos_ultimos_12_meses,mora_actual,score_cliente_simulado,lista_restrictiva
ASE00132,Pyme,117,Guayaquil,1,0,False,711,False
ASE00133,Pyme,78,Loja,4,0,False,614,False
ASE00134,Corporativo,4,Manta,1,1,False,674,False
ASE00135,Individual,9,Portoviejo,1,0,False,827,False
ASE00136,Pyme,1,Portoviejo,4,1,False,757,False
ASE00137,Pyme,86,Portoviejo,1,0,False,709,False
ASE00138,Corporativo,27,Cuenca,1,0,False,661,False
ASE00139,Individual,46,Portoviejo,1,1,False,822,False
ASE00140,Pyme,134,Ambato,1,0,False,746,False
ASE00141,Individual,32,Quito,2,0,False,687,False
ASE00142,Individual,69,Cuenca,4,0,False,604,False
ASE00143,Individual,48,Ambato,4,0,False,591,False
ASE00144,Individual,26,Guayaquil,3,0,False,711,False
ASE00145,VIP,108,Guayaquil,3,2,False,657,False
ASE00146,Individual,31,Manta,1,0,False,717,False
ASE00147,Individual,108,Guayaquil,1,1,False,623,False
ASE00148,Individual,20,Manta,2,0,False,636,False
ASE00149,Individual,92,Loja,3,0,False,700,False
ASE00150,Individual,82,Portoviejo,4,3,False,742,False
ASE00151,Corporativo,112,Cuenca,1,1,False,626,False
ASE00152,Individual,29,Cuenca,1,1,False,679,False
ASE00153,Individual,99,Santo Domingo,3,0,False,692,False
ASE00154,Individual,89,Manta,4,0,False,637,False
ASE00155,Pyme,113,Manta,1,2,False,693,False
ASE00156,Individual,140,Cuenca,2,0,False,850,False
ASE00157,Pyme,139,Santo Domingo,4,0,False,877,False
ASE00158,Individual,89,Quito,4,0,False,510,True
ASE00159,Individual,96,Loja,4,0,False,692,False
ASE00160,Pyme,34,Cuenca,2,0,False,668,False
ASE00161,Individual,4,Portoviejo,4,0,False,789,False
ASE00162,Individual,24,Ambato,2,1,False,689,False
ASE00163,Individual,118,Portoviejo,1,3,False,627,False
ASE00164,Pyme,41,Santo Domingo,1,1,False,790,False
ASE00165,Individual,2,Loja,3,1,True,739,False
ASE00166,Individual,69,Manta,3,2,False,549,False
ASE00167,VIP,5,Cuenca,3,0,False,588,False
ASE00168,Individual,31,Manta,4,0,False,752,False
ASE00169,Individual,36,Manta,1,0,False,677,False
ASE00170,Individual,2,Cuenca,2,0,False,589,False
ASE00171,Individual,9,Quito,1,0,False,699,False
ASE00172,Individual,114,Manta,2,2,False,826,False
ASE00173,Individual,88,Ambato,4,0,True,689,False
ASE00174,VIP,81,Santo Domingo,3,0,False,682,False
ASE00175,Corporativo,96,Manta,2,1,False,831,False
ASE00176,Individual,104,Quito,3,0,False,680,False
ASE00177,Corporativo,140,Quito,3,0,False,810,False
ASE00178,Individual,57,Manta,4,1,False,686,False
ASE00179,Pyme,128,Santo Domingo,4,1,False,673,False
ASE00180,Individual,33,Santo Domingo,1,2,False,615,False
ASE00181,Pyme,71,Portoviejo,3,1,False,553,False
ASE00182,Pyme,87,Ambato,4,0,False,684,False
ASE00183,Corporativo,88,Quito,3,2,False,707,False
ASE00184,VIP,60,Portoviejo,4,0,False,594,False
ASE00185,Individual,73,Santo Domingo,4,0,False,636,False
ASE00186,Pyme,41,Portoviejo,3,0,False,662,False
ASE00187,Pyme,113,Quito,4,0,False,539,False
ASE00188,Individual,122,Guayaquil,1,0,False,633,False
ASE00189,Pyme,82,Quito,4,1,False,516,False
ASE00190,Individual,139,Portoviejo,3,0,False,642,False
ASE00191,Individual,54,Ambato,4,0,False,679,False
ASE00192,Individual,113,Cuenca,2,0,False,777,False
ASE00193,Individual,64,Cuenca,1,0,False,521,False
ASE00194,Individual,129,Quito,4,0,False,597,False
ASE00195,Pyme,142,Cuenca,3,0,False,740,False
ASE00196,Individual,85,Manta,3,0,False,726,False
ASE00197,Corporativo,128,Guayaquil,2,1,False,652,False
ASE00198,Individual,36,Manta,2,1,False,839,False
ASE00199,Individual,54,Loja,1,0,False,634,False
ASE00200,Individual,121,Ambato,2,1,False,755,False
ASE00201,Pyme,96,Cuenca,4,0,False,757,False
ASE00202,Pyme,105,Portoviejo,2,0,False,534,False
ASE00203,Individual,102,Ambato,1,0,False,722,False
ASE00204,Pyme,21,Quito,4,0,False,713,False
ASE00205,Pyme,33,Cuenca,4,0,False,575,False
ASE00206,Pyme,141,Portoviejo,3,0,False,823,False
ASE00207,Individual,77,Cuenca,3,0,False,663,False
ASE00208,Individual,135,Manta,3,1,False,828,False
ASE00209,Corporativo,6,Cuenca,2,0,False,558,False
ASE00210,Corporativo,54,Manta,3,0,False,619,False
ASE00211,Individual,95,Quito,2,1,False,731,False
ASE00212,Individual,65,Portoviejo,1,1,True,647,False
ASE00213,Individual,121,Manta,1,0,False,784,False
ASE00214,Individual,59,Manta,3,0,False,640,False
ASE00215,Individual,111,Portoviejo,3,0,False,500,False
ASE00216,Individual,73,Ambato,1,0,False,778,False
ASE00217,Individual,124,Cuenca,1,0,False,658,False
ASE00218,Corporativo,39,Santo Domingo,1,1,False,681,False
ASE00219,Individual,106,Ambato,3,0,False,656,False
ASE00220,Individual,23,Portoviejo,2,1,False,744,False
ASE00221,Individual,53,Portoviejo,4,0,False,741,False
ASE00222,Individual,135,Ambato,3,3,False,434,False
ASE00223,Pyme,15,Guayaquil,4,1,True,714,False
ASE00224,Individual,96,Cuenca,3,0,False,527,False
ASE00225,Individual,31,Quito,3,2,False,691,False
ASE00226,Individual,141,Cuenca,4,2,False,663,False
ASE00227,Individual,58,Manta,1,0,False,730,False
ASE00228,VIP,100,Guayaquil,2,1,False,517,False
ASE00229,Individual,131,Quito,1,1,False,659,False
ASE00230,Corporativo,47,Portoviejo,3,1,False,842,False
ASE00231,Individual,91,Loja,3,1,False,867,False
ASE00232,Individual,115,Cuenca,2,0,False,557,False
ASE00233,Corporativo,97,Cuenca,2,0,False,626,False
ASE00234,Individual,35,Quito,4,0,False,563,False
ASE00235,Individual,66,Portoviejo,2,0,False,651,False
ASE00236,Individual,143,Santo Domingo,3,0,False,771,False
ASE00237,Individual,10,Manta,3,0,False,761,False
ASE00238,Pyme,55,Cuenca,2,0,False,610,False
ASE00239,Individual,43,Santo Domingo,3,0,True,611,False
ASE00240,Individual,60,Cuenca,2,0,False,542,False
ASE00241,Pyme,17,Loja,3,1,True,614,True
ASE00242,VIP,99,Cuenca,2,1,False,731,False
ASE00243,VIP,15,Portoviejo,2,0,False,695,False
ASE00244,Individual,44,Ambato,3,0,False,760,False
ASE00245,Individual,71,Ambato,1,0,False,749,False
ASE00246,Individual,64,Portoviejo,4,0,False,764,False
ASE00247,Individual,23,Manta,4,0,False,746,False
ASE00248,Individual,50,Portoviejo,1,1,False,601,False
ASE00249,Individual,97,Cuenca,2,0,False,733,False
ASE00250,Individual,4,Cuenca,2,0,False,580,False
ASE00251,VIP,122,Santo Domingo,4,1,True,489,False
ASE00252,Individual,85,Santo Domingo,3,0,False,524,False
ASE00253,Individual,110,Santo Domingo,3,0,False,660,False
ASE00254,Corporativo,83,Cuenca,2,1,False,744,True
ASE00255,Pyme,142,Manta,4,1,False,726,False
ASE00256,Pyme,50,Guayaquil,3,0,True,532,False
ASE00257,Individual,4,Guayaquil,1,0,False,650,False
ASE00258,Corporativo,54,Portoviejo,4,0,False,742,False
ASE00259,VIP,111,Loja,1,1,False,698,False
ASE00260,Individual,6,Santo Domingo,3,0,False,651,False
ASE00261,VIP,83,Santo Domingo,3,0,False,614,False
ASE00262,Individual,45,Quito,4,0,False,599,False
ASE00263,Individual,107,Santo Domingo,1,0,False,689,False
ASE00264,Pyme,106,Quito,1,0,False,800,False
ASE00265,Pyme,18,Loja,4,0,False,834,False
ASE00266,Individual,71,Guayaquil,3,0,False,527,False
ASE00267,Individual,72,Loja,1,1,True,702,False
ASE00268,Individual,27,Santo Domingo,3,1,True,844,False
ASE00269,Corporativo,7,Cuenca,4,1,False,524,False
ASE00270,Individual,19,Portoviejo,3,0,False,689,False
ASE00271,Individual,29,Cuenca,2,0,False,820,False
ASE00272,Corporativo,69,Loja,1,0,False,783,False
ASE00273,VIP,64,Ambato,2,3,True,806,False
ASE00274,Pyme,68,Santo Domingo,1,0,False,692,False
ASE00275,Individual,127,Santo Domingo,2,1,False,698,False
ASE00276,Individual,66,Loja,3,2,False,833,False
ASE00277,Individual,27,Cuenca,1,0,False,706,False
ASE00278,Individual,85,Ambato,1,0,False,770,False
ASE00279,Individual,140,Santo Domingo,4,0,False,792,False
ASE00280,Individual,50,Cuenca,3,2,False,644,False
ASE00281,Pyme,9,Portoviejo,3,0,False,736,False
ASE00282,Individual,57,Guayaquil,3,0,False,790,False
ASE00283,Individual,91,Portoviejo,2,0,False,748,False
ASE00284,Pyme,48,Cuenca,4,0,False,724,False
ASE00285,Corporativo,76,Ambato,3,0,False,773,False
ASE00286,Corporativo,90,Guayaquil,4,1,False,807,False
ASE00287,Pyme,8,Portoviejo,2,0,False,753,False
ASE00288,VIP,5,Loja,3,1,True,723,False
ASE00289,Individual,99,Santo Domingo,1,0,False,639,False
ASE00290,Pyme,101,Loja,4,2,False,697,False
ASE00291,Individual,44,Santo Domingo,2,0,False,778,False
ASE00292,Individual,115,Ambato,3,0,False,681,False
ASE00293,Corporativo,101,Santo Domingo,1,3,False,695,False
ASE00294,Individual,53,Portoviejo,3,0,False,735,False
ASE00295,Pyme,20,Guayaquil,3,0,False,559,False
ASE00296,Individual,5,Portoviejo,2,0,False,616,False
ASE00297,Individual,37,Cuenca,2,1,False,700,False
ASE00298,Individual,101,Manta,4,0,False,825,False
ASE00299,Individual,91,Ambato,4,1,False,678,False
ASE00300,Pyme,91,Guayaquil,1,0,False,805,False
ASE00301,Pyme,46,Loja,4,2,False,726,False
ASE00302,Individual,108,Santo Domingo,1,1,False,692,False
ASE00303,Individual,13,Loja,3,0,False,717,False
ASE00304,Individual,21,Quito,3,1,False,695,False
ASE00305,Individual,71,Portoviejo,4,1,False,686,False
ASE00306,Individual,82,Guayaquil,3,0,False,676,False
ASE00307,Individual,96,Santo Domingo,4,0,False,619,False
ASE00308,Individual,56,Portoviejo,1,0,False,794,False
ASE00309,Individual,19,Santo Domingo,4,0,True,664,False
ASE00310,Individual,9,Guayaquil,4,0,False,615,False
ASE00311,Individual,127,Guayaquil,1,0,False,614,False
ASE00312,Corporativo,91,Manta,4,0,True,713,False
ASE00313,Individual,35,Cuenca,1,0,False,710,False
ASE00314,Corporativo,73,Loja,1,1,False,667,False
ASE00315,Corporativo,136,Cuenca,2,0,False,577,False
ASE00316,Individual,116,Manta,4,0,False,721,False
ASE00317,Individual,89,Santo Domingo,3,1,False,602,False
ASE00318,Individual,51,Quito,1,0,False,723,False
ASE00319,Individual,22,Ambato,2,0,True,513,False
ASE00320,Individual,59,Portoviejo,4,0,False,774,False
ASE00321,Corporativo,40,Cuenca,1,0,False,724,False
ASE00322,Pyme,38,Quito,2,1,False,654,False
ASE00323,Individual,93,Portoviejo,4,0,False,643,False
ASE00324,Pyme,70,Cuenca,1,1,True,641,True
ASE00325,Individual,73,Portoviejo,2,0,False,737,False
ASE00326,Pyme,68,Santo Domingo,2,0,False,670,False
ASE00327,Individual,4,Guayaquil,3,0,False,808,False
ASE00328,Individual,11,Quito,3,1,False,648,False
ASE00329,Corporativo,48,Manta,2,1,False,755,False
ASE00330,Pyme,138,Loja,3,0,False,807,False
ASE00331,Individual,123,Cuenca,3,0,False,645,False
ASE00332,Corporativo,118,Santo Domingo,2,0,False,732,False
ASE00333,Individual,137,Guayaquil,2,2,False,600,False
ASE00334,Pyme,122,Santo Domingo,3,0,False,506,False
ASE00335,Pyme,120,Quito,2,0,False,707,False
ASE00336,Individual,70,Guayaquil,2,0,False,699,False
ASE00337,Pyme,24,Portoviejo,1,0,False,725,False
ASE00338,Individual,55,Guayaquil,2,0,False,589,False
ASE00339,VIP,39,Portoviejo,4,0,False,700,False
ASE00340,Corporativo,104,Quito,3,0,True,558,False
ASE00341,Corporativo,75,Ambato,4,1,False,637,False
ASE00342,Corporativo,142,Portoviejo,3,1,False,786,False
ASE00343,Individual,39,Ambato,3,0,False,562,False
ASE00344,Pyme,109,Portoviejo,4,0,False,743,False
ASE00345,Pyme,26,Ambato,4,1,False,573,False
ASE00346,Individual,14,Loja,1,0,False,712,False
ASE00347,Individual,97,Loja,1,0,False,598,False
ASE00348,Individual,115,Guayaquil,4,0,False,582,False
ASE00349,Individual,118,Loja,3,2,False,532,False
ASE00350,Pyme,66,Manta,1,0,False,710,False
ASE00351,Individual,69,Cuenca,4,1,False,538,False
ASE00352,Pyme,2,Loja,1,1,True,694,False
ASE00353,Individual,14,Portoviejo,3,0,False,663,False
ASE00354,Individual,37,Ambato,3,0,False,512,False
ASE00355,Individual,139,Portoviejo,1,1,False,648,False
ASE00356,Pyme,130,Cuenca,1,0,False,592,False
ASE00357,Individual,133,Cuenca,3,0,False,712,False
ASE00358,Individual,70,Quito,3,0,False,693,False
ASE00359,Individual,81,Loja,1,1,False,800,False
ASE00360,Individual,107,Manta,2,1,False,706,False
ASE00361,Pyme,86,Cuenca,2,0,False,688,False
ASE00362,Individual,64,Quito,4,0,False,717,False
ASE00363,Pyme,57,Loja,3,0,False,705,False
ASE00364,Pyme,2,Quito,4,1,False,662,False
ASE00365,VIP,38,Cuenca,1,0,False,727,False
ASE00366,Individual,87,Loja,2,0,False,700,False
ASE00367,Corporativo,24,Cuenca,3,0,False,722,False
ASE00368,Individual,41,Guayaquil,3,0,False,578,False
ASE00369,VIP,114,Portoviejo,1,0,False,674,False
ASE00370,Individual,20,Loja,1,0,True,753,False
ASE00371,Individual,93,Ambato,1,1,False,731,False
ASE00372,Individual,99,Quito,3,0,False,738,False
ASE00373,Pyme,99,Loja,1,1,False,738,False
ASE00374,Individual,88,Quito,4,0,False,711,False
ASE00375,VIP,125,Santo Domingo,2,0,False,765,False
ASE00376,Individual,36,Guayaquil,3,0,False,609,False
ASE00377,Corporativo,80,Quito,2,0,False,742,False
ASE00378,Individual,7,Cuenca,2,0,False,698,False
ASE00379,Individual,49,Quito,2,0,False,658,False
ASE00380,Pyme,117,Portoviejo,2,2,False,697,False
ASE00381,Individual,126,Guayaquil,4,0,False,701,False
ASE00382,Individual,100,Manta,2,0,True,578,False
ASE00383,Individual,139,Cuenca,3,1,False,605,False
ASE00384,Individual,19,Santo Domingo,4,0,False,758,False
ASE00385,Individual,27,Loja,3,0,False,613,False
ASE00386,Individual,112,Ambato,3,0,False,755,False
ASE00387,Individual,97,Santo Domingo,2,1,False,742,False
ASE00388,Corporativo,56,Cuenca,1,0,False,723,False
ASE00389,Individual,63,Portoviejo,1,0,False,694,False
ASE00390,Individual,113,Manta,2,0,False,800,False
ASE00391,Pyme,110,Quito,2,0,False,723,False
ASE00392,Individual,123,Quito,2,0,True,784,False
ASE00393,Individual,10,Ambato,4,0,False,762,False
ASE00394,Individual,23,Ambato,2,0,False,671,False
ASE00395,Pyme,49,Guayaquil,3,0,False,663,False
ASE00396,Pyme,69,Portoviejo,4,0,False,677,False
ASE00397,Individual,19,Portoviejo,3,0,False,727,False
ASE00398,Pyme,110,Ambato,4,0,False,598,False
ASE00399,Individual,64,Cuenca,4,0,False,548,False
ASE00400,Individual,137,Guayaquil,2,0,False,673,False
ASE00401,Individual,133,Quito,2,1,False,563,False
ASE00402,Individual,95,Loja,3,1,False,622,False
ASE00403,Individual,121,Manta,1,0,False,706,False
ASE00404,Individual,94,Santo Domingo,1,1,False,712,False
ASE00405,Individual,15,Guayaquil,1,1,False,806,False
ASE00406,Pyme,137,Ambato,2,2,False,586,False
ASE00407,Individual,97,Portoviejo,3,0,False,542,False
ASE00408,Pyme,19,Guayaquil,3,0,False,741,False
ASE00409,Individual,83,Portoviejo,3,0,False,566,False
ASE00410,Pyme,89,Cuenca,2,0,False,724,False
ASE00411,Individual,56,Manta,1,0,False,536,False
ASE00412,Corporativo,102,Cuenca,2,0,True,597,False
ASE00413,Corporativo,117,Guayaquil,4,1,False,738,False
ASE00414,Pyme,56,Manta,3,0,False,554,False
ASE00415,Individual,70,Santo Domingo,3,0,False,670,False
ASE00416,Individual,84,Guayaquil,1,0,False,710,False
ASE00417,Pyme,90,Loja,2,0,False,570,False
ASE00418,Individual,65,Quito,2,0,False,710,False
ASE00419,Individual,79,Cuenca,1,1,False,767,False
ASE00420,Individual,11,Manta,3,0,False,666,False
ASE00421,Individual,62,Guayaquil,4,0,False,663,False
ASE00422,Individual,55,Loja,3,0,False,776,False
ASE00423,Individual,39,Manta,1,0,False,566,False
ASE00424,Pyme,1,Loja,4,0,False,736,False
ASE00425,Individual,111,Cuenca,1,0,False,677,False
ASE00426,Individual,103,Ambato,1,0,False,726,False
ASE00427,Individual,110,Guayaquil,1,0,False,673,False
ASE00428,Individual,128,Guayaquil,4,0,False,586,False
ASE00429,Corporativo,131,Quito,3,3,False,718,False
ASE00430,Corporativo,26,Manta,1,0,True,713,False
ASE00431,Individual,104,Manta,4,0,False,632,False
ASE00432,Individual,128,Santo Domingo,3,0,False,546,False
ASE00433,Individual,85,Cuenca,4,0,False,699,False
ASE00434,Corporativo,36,Quito,2,1,False,706,False
ASE00435,Individual,55,Ambato,2,0,False,539,False
ASE00436,Individual,4,Guayaquil,4,1,False,582,False
ASE00437,Pyme,119,Loja,1,0,False,484,False
ASE00438,Individual,46,Cuenca,1,0,False,704,False
ASE00439,Individual,10,Cuenca,2,0,False,695,False
ASE00440,Individual,64,Manta,1,1,False,634,False
ASE00441,Pyme,91,Quito,3,0,False,734,False
ASE00442,Individual,121,Santo Domingo,3,0,False,854,False
ASE00443,Pyme,21,Quito,2,1,False,630,False
ASE00444,Individual,83,Santo Domingo,4,0,False,596,False
ASE00445,Individual,65,Manta,3,0,False,780,False
ASE00446,Individual,12,Guayaquil,4,1,False,517,False
ASE00447,Pyme,100,Cuenca,4,1,False,489,False
ASE00448,Individual,31,Portoviejo,4,0,False,753,False
ASE00449,Individual,40,Santo Domingo,3,0,True,666,False
ASE00450,Individual,104,Manta,3,2,False,569,False
ASE00451,VIP,101,Cuenca,2,0,True,634,False
ASE00452,Individual,71,Ambato,4,0,False,673,False
ASE00453,Individual,87,Cuenca,2,0,False,659,False
ASE00454,Pyme,87,Santo Domingo,1,0,False,714,False
ASE00455,Individual,129,Guayaquil,2,1,False,634,False
ASE00456,Individual,21,Loja,2,0,False,527,False
ASE00457,Corporativo,3,Portoviejo,3,0,False,545,False
ASE00458,Pyme,83,Manta,1,0,False,769,False
ASE00459,Individual,47,Quito,4,0,False,623,False
ASE00460,Individual,46,Guayaquil,3,0,False,628,False
ASE00461,Corporativo,100,Ambato,4,3,False,459,False
ASE00462,Individual,7,Santo Domingo,2,0,False,557,False
ASE00463,Corporativo,71,Portoviejo,1,0,False,684,False
ASE00464,Individual,54,Santo Domingo,3,0,False,625,False
ASE00465,Individual,120,Manta,1,3,False,686,False
ASE00466,Individual,85,Ambato,2,0,False,713,False
ASE00467,Individual,135,Guayaquil,1,1,False,636,False
ASE00468,Pyme,83,Santo Domingo,4,0,False,892,False
ASE00469,Individual,3,Ambato,1,1,True,640,False
ASE00470,Individual,44,Cuenca,2,0,False,736,False
ASE00471,Individual,71,Quito,4,0,True,709,False
ASE00472,Pyme,66,Cuenca,1,0,True,831,False
ASE00473,Individual,8,Manta,1,0,False,650,False
ASE00474,Corporativo,47,Santo Domingo,1,0,False,628,False
ASE00475,Individual,30,Ambato,1,0,False,630,False
ASE00476,Pyme,68,Cuenca,3,0,True,713,False
ASE00477,Pyme,52,Cuenca,2,0,False,730,False
ASE00478,Corporativo,113,Manta,3,0,False,615,False
ASE00479,Individual,91,Loja,4,0,False,699,False
ASE00480,Pyme,91,Cuenca,4,0,False,542,False
ASE00481,Individual,100,Ambato,2,0,False,810,False
ASE00482,Individual,64,Quito,1,0,True,776,False
ASE00483,Individual,48,Guayaquil,4,0,False,747,False
ASE00484,Individual,26,Manta,1,0,False,669,False
ASE00485,Individual,54,Quito,3,0,False,626,False
ASE00486,VIP,33,Loja,2,0,False,723,False
ASE00487,Individual,60,Portoviejo,4,0,False,618,False
ASE00488,Individual,109,Ambato,1,0,True,553,False
ASE00489,Pyme,132,Portoviejo,2,0,False,722,False
ASE00490,Individual,42,Guayaquil,3,0,False,694,False
ASE00491,Individual,50,Loja,2,0,False,800,False
ASE00492,Individual,100,Cuenca,4,1,False,612,False
